"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"6/17/2020 12:00 AM","-14.1","0"
"6/17/2020 12:15 AM","-14.2","0"
"6/17/2020 12:30 AM","-14.2","0"
"6/17/2020 12:45 AM","-14.1","0"
"6/17/2020 1:00 AM","-14.1","0"
"6/17/2020 1:15 AM","-14.1","0"
"6/17/2020 1:30 AM","-14.1","0"
"6/17/2020 1:45 AM","-14.1","0"
"6/17/2020 2:00 AM","-14.1","0"
"6/17/2020 2:15 AM","-14.1","0"
"6/17/2020 2:30 AM","-14.1","0"
"6/17/2020 2:45 AM","-14.1","0"
"6/17/2020 3:00 AM","-14.1","0"
"6/17/2020 3:15 AM","-14.1","0"
"6/17/2020 3:30 AM","-14.2","0"
"6/17/2020 3:45 AM","-14.1","0"
"6/17/2020 4:00 AM","-14.1","0"
"6/17/2020 4:15 AM","-14","0"
"6/17/2020 4:30 AM","-14.1","0"
"6/17/2020 4:45 AM","-14.3","0"
"6/17/2020 5:00 AM","-14.4","0"
"6/17/2020 5:15 AM","-10.6","4.34"
"6/17/2020 5:30 AM","9.89","27"
"6/17/2020 5:45 AM","39.9","56.6"
"6/17/2020 6:00 AM","71.2","87.8"
"6/17/2020 6:15 AM","111","127"
"6/17/2020 6:30 AM","208","224"
"6/17/2020 6:45 AM","269","285"
"6/17/2020 7:00 AM","367","382"
"6/17/2020 7:15 AM","386","402"
"6/17/2020 7:30 AM","341","355"
"6/17/2020 7:45 AM","544","557"
"6/17/2020 8:00 AM","867","882"
"6/17/2020 8:15 AM","1326","1350"
"6/17/2020 8:30 AM","1742","1766"
"6/17/2020 8:45 AM","1733","1760"
"6/17/2020 9:00 AM","1577","1584"
"6/17/2020 9:15 AM","1939","1970"
"6/17/2020 9:30 AM","2110","2139"
"6/17/2020 9:45 AM","2195","2225"
"6/17/2020 10:00 AM","2210","2230"
"6/17/2020 10:15 AM","2455","2490"
"6/17/2020 10:30 AM","2106","2153"
"6/17/2020 10:45 AM","1394","1417"
"6/17/2020 11:00 AM","1766","1773"
"6/17/2020 11:15 AM","2772","2788"
"6/17/2020 11:30 AM","2665","2715"
"6/17/2020 11:45 AM","2834","2854"
"6/17/2020 12:00 PM","2745","2783"
"6/17/2020 12:15 PM","2924","2967"
"6/17/2020 12:30 PM","2913","2957"
"6/17/2020 12:45 PM","2330","2374"
"6/17/2020 1:00 PM","2719","2748"
"6/17/2020 1:15 PM","2561","2624"
"6/17/2020 1:30 PM","2934","2978"
"6/17/2020 1:45 PM","2895","2943"
"6/17/2020 2:00 PM","2870","2919"
"6/17/2020 2:15 PM","2801","2844"
"6/17/2020 2:30 PM","1298","1342"
"6/17/2020 2:45 PM","2897","2936"
"6/17/2020 3:00 PM","1303","1322"
"6/17/2020 3:15 PM","972","1000"
"6/17/2020 3:30 PM","1900","1934"
"6/17/2020 3:45 PM","2368","2392"
"6/17/2020 4:00 PM","1906","1946"
"6/17/2020 4:15 PM","763","779"
"6/17/2020 4:30 PM","641","673"
"6/17/2020 4:45 PM","1591","1622"
"6/17/2020 5:00 PM","1453","1480"
"6/17/2020 5:15 PM","1274","1302"
"6/17/2020 5:30 PM","1092","1120"
"6/17/2020 5:45 PM","920","948"
"6/17/2020 6:00 PM","725","753"
"6/17/2020 6:15 PM","539","567"
"6/17/2020 6:30 PM","392","420"
"6/17/2020 6:45 PM","271","298"
"6/17/2020 7:00 PM","174","201"
"6/17/2020 7:15 PM","114","141"
"6/17/2020 7:30 PM","81.6","106"
"6/17/2020 7:45 PM","54","77.3"
"6/17/2020 8:00 PM","8.62","27.9"
"6/17/2020 8:15 PM","0.423","19.2"
"6/17/2020 8:30 PM","-13.7","2.22"
"6/17/2020 8:45 PM","-14.1","0"
"6/17/2020 9:00 PM","-13.8","0"
"6/17/2020 9:15 PM","-13.8","0"
"6/17/2020 9:30 PM","-13.8","0"
"6/17/2020 9:45 PM","-13.8","0"
"6/17/2020 10:00 PM","-13.7","0"
"6/17/2020 10:15 PM","-13.8","0"
"6/17/2020 10:30 PM","-13.8","0"
"6/17/2020 10:45 PM","-13.7","0"
"6/17/2020 11:00 PM","-13.7","0"
"6/17/2020 11:15 PM","-13.7","0"
"6/17/2020 11:30 PM","-13.7","0"
"6/17/2020 11:45 PM","-13.9","0"
