"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"4/16/2020 12:00 AM","-10.2","0"
"4/16/2020 12:15 AM","-10.1","0"
"4/16/2020 12:30 AM","-10.1","0"
"4/16/2020 12:45 AM","-10.1","0"
"4/16/2020 1:00 AM","-10.1","0"
"4/16/2020 1:15 AM","-10.1","0"
"4/16/2020 1:30 AM","-10.1","0"
"4/16/2020 1:45 AM","-10.1","0"
"4/16/2020 2:00 AM","-10.1","0"
"4/16/2020 2:15 AM","-10.1","0"
"4/16/2020 2:30 AM","-10.1","0"
"4/16/2020 2:45 AM","-10.1","0"
"4/16/2020 3:00 AM","-13.2","0"
"4/16/2020 3:15 AM","-10.1","0"
"4/16/2020 3:30 AM","-11.4","0"
"4/16/2020 3:45 AM","-10.9","0"
"4/16/2020 4:00 AM","-14.6","0"
"4/16/2020 4:15 AM","-11.8","0"
"4/16/2020 4:30 AM","-11.7","0"
"4/16/2020 4:45 AM","-11.3","0"
"4/16/2020 5:00 AM","-16.6","0"
"4/16/2020 5:15 AM","-11.7","0"
"4/16/2020 5:30 AM","-13.4","0"
"4/16/2020 5:45 AM","-12.5","0"
"4/16/2020 6:00 AM","-9.76","5.27"
"4/16/2020 6:15 AM","14.6","29.7"
"4/16/2020 6:30 AM","19","35.5"
"4/16/2020 6:45 AM","127","141"
"4/16/2020 7:00 AM","77.1","91.7"
"4/16/2020 7:15 AM","153","167"
"4/16/2020 7:30 AM","295","309"
"4/16/2020 7:45 AM","389","403"
"4/16/2020 8:00 AM","549","564"
"4/16/2020 8:15 AM","665","681"
"4/16/2020 8:30 AM","662","677"
"4/16/2020 8:45 AM","966","980"
"4/16/2020 9:00 AM","1309","1332"
"4/16/2020 9:15 AM","2195","2278"
"4/16/2020 9:30 AM","2383","2419"
"4/16/2020 9:45 AM","1536","1568"
"4/16/2020 10:00 AM","2440","2519"
"4/16/2020 10:15 AM","2689","2746"
"4/16/2020 10:30 AM","3942","3991"
"4/16/2020 10:45 AM","4312","4415"
"4/16/2020 11:00 AM","4242","4227"
"4/16/2020 11:15 AM","2150","2174"
"4/16/2020 11:30 AM","1797","1823"
"4/16/2020 11:45 AM","2195","2219"
"4/16/2020 12:00 PM","3046","3126"
"4/16/2020 12:15 PM","3587","3611"
"4/16/2020 12:30 PM","1913","1939"
"4/16/2020 12:45 PM","2069","2103"
"4/16/2020 1:00 PM","2244","2277"
"4/16/2020 1:15 PM","1757","1787"
"4/16/2020 1:30 PM","1147","1169"
"4/16/2020 1:45 PM","3086","3126"
"4/16/2020 2:00 PM","2367","2369"
"4/16/2020 2:15 PM","1979","2007"
"4/16/2020 2:30 PM","1831","1861"
"4/16/2020 2:45 PM","1723","1750"
"4/16/2020 3:00 PM","1155","1178"
"4/16/2020 3:15 PM","1736","1761"
"4/16/2020 3:30 PM","1005","1026"
"4/16/2020 3:45 PM","1077","1098"
"4/16/2020 4:00 PM","1039","1061"
"4/16/2020 4:15 PM","1349","1373"
"4/16/2020 4:30 PM","1087","1106"
"4/16/2020 4:45 PM","694","714"
"4/16/2020 5:00 PM","710","730"
"4/16/2020 5:15 PM","591","609"
"4/16/2020 5:30 PM","346","364"
"4/16/2020 5:45 PM","236","253"
"4/16/2020 6:00 PM","194","212"
"4/16/2020 6:15 PM","223","241"
"4/16/2020 6:30 PM","160","177"
"4/16/2020 6:45 PM","99.8","117"
"4/16/2020 7:00 PM","20.9","38.1"
"4/16/2020 7:15 PM","-9.11","5.89"
"4/16/2020 7:30 PM","-12","0"
"4/16/2020 7:45 PM","-12","0"
"4/16/2020 8:00 PM","-11.5","0"
"4/16/2020 8:15 PM","-11.6","0"
"4/16/2020 8:30 PM","-11.6","0"
"4/16/2020 8:45 PM","-11.6","0"
"4/16/2020 9:00 PM","-11.6","0"
"4/16/2020 9:15 PM","-11.2","0"
"4/16/2020 9:30 PM","-10.7","0"
"4/16/2020 9:45 PM","-10.4","0"
"4/16/2020 10:00 PM","-10.1","0"
"4/16/2020 10:15 PM","-9.87","0"
"4/16/2020 10:30 PM","-9.9","0"
"4/16/2020 10:45 PM","-9.85","0"
"4/16/2020 11:00 PM","-9.84","0"
"4/16/2020 11:15 PM","-9.89","0"
"4/16/2020 11:30 PM","-9.89","0"
"4/16/2020 11:45 PM","-9.89","0"
