"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"3/21/2020 12:00 AM","-9.37","0"
"3/21/2020 12:15 AM","-9.37","0"
"3/21/2020 12:30 AM","-9.37","0"
"3/21/2020 12:45 AM","-9.42","0"
"3/21/2020 1:00 AM","-9.45","0"
"3/21/2020 1:15 AM","-9.35","0"
"3/21/2020 1:30 AM","-9.4","0"
"3/21/2020 1:45 AM","-9.43","0"
"3/21/2020 2:00 AM","-9.42","0"
"3/21/2020 2:15 AM","-9.41","0"
"3/21/2020 2:30 AM","-9.47","0"
"3/21/2020 2:45 AM","-9.46","0"
"3/21/2020 3:00 AM","-13.7","0"
"3/21/2020 3:15 AM","-11.3","0"
"3/21/2020 3:30 AM","-9.83","0"
"3/21/2020 3:45 AM","-11.2","0"
"3/21/2020 4:00 AM","-14.9","0"
"3/21/2020 4:15 AM","-12.6","0"
"3/21/2020 4:30 AM","-12.2","0"
"3/21/2020 4:45 AM","-11.9","0"
"3/21/2020 5:00 AM","-16.6","0"
"3/21/2020 5:15 AM","-12.3","0"
"3/21/2020 5:30 AM","-13.7","0"
"3/21/2020 5:45 AM","-13.5","0"
"3/21/2020 6:00 AM","-12.3","0"
"3/21/2020 6:15 AM","-13.2","0"
"3/21/2020 6:30 AM","-13.6","0"
"3/21/2020 6:45 AM","-11.4","0"
"3/21/2020 7:00 AM","-8.62","6.89"
"3/21/2020 7:15 AM","14.9","30.5"
"3/21/2020 7:30 AM","47.3","63.1"
"3/21/2020 7:45 AM","126","143"
"3/21/2020 8:00 AM","173","189"
"3/21/2020 8:15 AM","211","227"
"3/21/2020 8:30 AM","252","268"
"3/21/2020 8:45 AM","313","330"
"3/21/2020 9:00 AM","429","448"
"3/21/2020 9:15 AM","731","747"
"3/21/2020 9:30 AM","685","703"
"3/21/2020 9:45 AM","706","728"
"3/21/2020 10:00 AM","1048","1070"
"3/21/2020 10:15 AM","1456","1480"
"3/21/2020 10:30 AM","883","906"
"3/21/2020 10:45 AM","959","980"
"3/21/2020 11:00 AM","885","908"
"3/21/2020 11:15 AM","1270","1294"
"3/21/2020 11:30 AM","2029","2055"
"3/21/2020 11:45 AM","2137","2162"
"3/21/2020 12:00 PM","1490","1511"
"3/21/2020 12:15 PM","1491","1513"
"3/21/2020 12:30 PM","1548","1572"
"3/21/2020 12:45 PM","1665","1688"
"3/21/2020 1:00 PM","1647","1670"
"3/21/2020 1:15 PM","1651","1675"
"3/21/2020 1:30 PM","1770","1795"
"3/21/2020 1:45 PM","1959","1986"
"3/21/2020 2:00 PM","2320","2332"
"3/21/2020 2:15 PM","2067","2093"
"3/21/2020 2:30 PM","2365","2412"
"3/21/2020 2:45 PM","1678","1704"
"3/21/2020 3:00 PM","1482","1506"
"3/21/2020 3:15 PM","1506","1529"
"3/21/2020 3:30 PM","1401","1424"
"3/21/2020 3:45 PM","1184","1204"
"3/21/2020 4:00 PM","1000","1020"
"3/21/2020 4:15 PM","886","905"
"3/21/2020 4:30 PM","807","824"
"3/21/2020 4:45 PM","796","811"
"3/21/2020 5:00 PM","609","624"
"3/21/2020 5:15 PM","459","473"
"3/21/2020 5:30 PM","418","434"
"3/21/2020 5:45 PM","398","413"
"3/21/2020 6:00 PM","224","237"
"3/21/2020 6:15 PM","157","171"
"3/21/2020 6:30 PM","69","85"
"3/21/2020 6:45 PM","13.5","26.9"
"3/21/2020 7:00 PM","-11","4.03"
"3/21/2020 7:15 PM","-11.7","0"
"3/21/2020 7:30 PM","-11.5","0"
"3/21/2020 7:45 PM","-11","0"
"3/21/2020 8:00 PM","-11.6","0"
"3/21/2020 8:15 PM","-11.1","0"
"3/21/2020 8:30 PM","-11","0"
"3/21/2020 8:45 PM","-11","0"
"3/21/2020 9:00 PM","-10.8","0"
"3/21/2020 9:15 PM","-11.6","0"
"3/21/2020 9:30 PM","-10","0"
"3/21/2020 9:45 PM","-10.8","0"
"3/21/2020 10:00 PM","-10.9","0"
"3/21/2020 10:15 PM","-10","0"
"3/21/2020 10:30 PM","-11.3","0"
"3/21/2020 10:45 PM","-10.5","0"
"3/21/2020 11:00 PM","-10","0"
"3/21/2020 11:15 PM","-10.1","0"
"3/21/2020 11:30 PM","-10","0"
"3/21/2020 11:45 PM","-10.1","0"
