"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"3/3/2018 12:00 AM","-9.25","null"
"3/3/2018 12:15 AM","-9.17","null"
"3/3/2018 12:30 AM","-8.19","null"
"3/3/2018 12:45 AM","-8.21","null"
"3/3/2018 1:00 AM","-8.18","null"
"3/3/2018 1:15 AM","-8.16","null"
"3/3/2018 1:30 AM","-10.2","null"
"3/3/2018 1:45 AM","-8.73","null"
"3/3/2018 2:00 AM","-9.68","null"
"3/3/2018 2:15 AM","-8.14","null"
"3/3/2018 2:30 AM","-8.19","null"
"3/3/2018 2:45 AM","-10.3","null"
"3/3/2018 3:00 AM","-11.9","null"
"3/3/2018 3:15 AM","-8.22","null"
"3/3/2018 3:30 AM","-14.5","null"
"3/3/2018 3:45 AM","-10","null"
"3/3/2018 4:00 AM","-15.8","null"
"3/3/2018 4:15 AM","-11.3","null"
"3/3/2018 4:30 AM","-10.1","null"
"3/3/2018 4:45 AM","-11.7","null"
"3/3/2018 5:00 AM","-11.7","null"
"3/3/2018 5:15 AM","-11.3","null"
"3/3/2018 5:30 AM","-13.6","null"
"3/3/2018 5:45 AM","-15.3","null"
"3/3/2018 6:00 AM","-14.9","null"
"3/3/2018 6:15 AM","-2.08","null"
"3/3/2018 6:30 AM","50.3","null"
"3/3/2018 6:45 AM","194","null"
"3/3/2018 7:00 AM","422","null"
"3/3/2018 7:15 AM","664","null"
"3/3/2018 7:30 AM","880","null"
"3/3/2018 7:45 AM","1140","null"
"3/3/2018 8:00 AM","1388","null"
"3/3/2018 8:15 AM","1621","null"
"3/3/2018 8:30 AM","1839","null"
"3/3/2018 8:45 AM","2052","null"
"3/3/2018 9:00 AM","2235","null"
"3/3/2018 9:15 AM","2400","null"
"3/3/2018 9:30 AM","2543","null"
"3/3/2018 9:45 AM","2676","null"
"3/3/2018 10:00 AM","2789","null"
"3/3/2018 10:15 AM","2884","null"
"3/3/2018 10:30 AM","2977","null"
"3/3/2018 10:45 AM","3040","null"
"3/3/2018 11:00 AM","3063","null"
"3/3/2018 11:15 AM","3086","null"
"3/3/2018 11:30 AM","3093","null"
"3/3/2018 11:45 AM","3095","null"
"3/3/2018 12:00 PM","3096","null"
"3/3/2018 12:15 PM","3096","null"
"3/3/2018 12:30 PM","3083","null"
"3/3/2018 12:45 PM","3064","null"
"3/3/2018 1:00 PM","3034","null"
"3/3/2018 1:15 PM","2975","null"
"3/3/2018 1:30 PM","2891","null"
"3/3/2018 1:45 PM","2781","null"
"3/3/2018 2:00 PM","2662","null"
"3/3/2018 2:15 PM","2545","null"
"3/3/2018 2:30 PM","2403","null"
"3/3/2018 2:45 PM","2248","null"
"3/3/2018 3:00 PM","2067","null"
"3/3/2018 3:15 PM","1876","null"
"3/3/2018 3:30 PM","1668","null"
"3/3/2018 3:45 PM","1453","null"
"3/3/2018 4:00 PM","1215","null"
"3/3/2018 4:15 PM","975","null"
"3/3/2018 4:30 PM","734","null"
"3/3/2018 4:45 PM","467","null"
"3/3/2018 5:00 PM","232","null"
"3/3/2018 5:15 PM","97.2","null"
"3/3/2018 5:30 PM","22.4","null"
"3/3/2018 5:45 PM","-3.86","null"
"3/3/2018 6:00 PM","-10.5","null"
"3/3/2018 6:15 PM","-8.71","null"
"3/3/2018 6:30 PM","-7.92","null"
"3/3/2018 6:45 PM","-7.99","null"
"3/3/2018 7:00 PM","-8.02","null"
"3/3/2018 7:15 PM","-8.05","null"
"3/3/2018 7:30 PM","-8.03","null"
"3/3/2018 7:45 PM","-10.2","null"
"3/3/2018 8:00 PM","-10.2","null"
"3/3/2018 8:15 PM","-8.1","null"
"3/3/2018 8:30 PM","-8.12","null"
"3/3/2018 8:45 PM","-12.5","null"
"3/3/2018 9:00 PM","-8.14","null"
"3/3/2018 9:15 PM","-8.1","null"
"3/3/2018 9:30 PM","-8.13","null"
"3/3/2018 9:45 PM","-8.13","null"
"3/3/2018 10:00 PM","-8.12","null"
"3/3/2018 10:15 PM","-9.22","null"
"3/3/2018 10:30 PM","-10.7","null"
"3/3/2018 10:45 PM","-8.6","null"
"3/3/2018 11:00 PM","-8.16","null"
"3/3/2018 11:15 PM","-8.16","null"
"3/3/2018 11:30 PM","-8.15","null"
"3/3/2018 11:45 PM","-8.18","null"
