"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"4/3/2017 12:00 AM","-12.1","0"
"4/3/2017 12:15 AM","-12.1","0"
"4/3/2017 12:30 AM","-12.2","0"
"4/3/2017 12:45 AM","-12.4","0"
"4/3/2017 1:00 AM","-12.4","0"
"4/3/2017 1:15 AM","-12.4","0"
"4/3/2017 1:30 AM","-12.6","0"
"4/3/2017 1:45 AM","-12.2","0"
"4/3/2017 2:00 AM","-12.3","0"
"4/3/2017 2:15 AM","-12.5","0"
"4/3/2017 2:30 AM","-12.3","0"
"4/3/2017 2:45 AM","-12.3","0"
"4/3/2017 3:00 AM","-12.2","0"
"4/3/2017 3:15 AM","-12.4","0"
"4/3/2017 3:30 AM","-12.4","0"
"4/3/2017 3:45 AM","-12.3","0"
"4/3/2017 4:00 AM","-12.2","0"
"4/3/2017 4:15 AM","-12.1","0"
"4/3/2017 4:30 AM","-12.2","0"
"4/3/2017 4:45 AM","-12.3","0"
"4/3/2017 5:00 AM","-12.3","0"
"4/3/2017 5:15 AM","-12.2","0"
"4/3/2017 5:30 AM","-12.3","0"
"4/3/2017 5:45 AM","-12.3","0"
"4/3/2017 6:00 AM","-12.8","0"
"4/3/2017 6:15 AM","-13.2","0"
"4/3/2017 6:30 AM","-13.3","0"
"4/3/2017 6:45 AM","6.79","22.5"
"4/3/2017 7:00 AM","49.6","66.6"
"4/3/2017 7:15 AM","54.2","70.8"
"4/3/2017 7:30 AM","44","61.6"
"4/3/2017 7:45 AM","55.9","73.2"
"4/3/2017 8:00 AM","53","71.2"
"4/3/2017 8:15 AM","78.5","95.8"
"4/3/2017 8:30 AM","374","401"
"4/3/2017 8:45 AM","485","517"
"4/3/2017 9:00 AM","448","478"
"4/3/2017 9:15 AM","350","371"
"4/3/2017 9:30 AM","262","285"
"4/3/2017 9:45 AM","432","456"
"4/3/2017 10:00 AM","682","720"
"4/3/2017 10:15 AM","573","599"
"4/3/2017 10:30 AM","467","481"
"4/3/2017 10:45 AM","453","484"
"4/3/2017 11:00 AM","765","790"
"4/3/2017 11:15 AM","1004","1045"
"4/3/2017 11:30 AM","2941","2988"
"4/3/2017 11:45 AM","2530","2603"
"4/3/2017 12:00 PM","1697","1754"
"4/3/2017 12:15 PM","2288","2351"
"4/3/2017 12:30 PM","1874","1940"
"4/3/2017 12:45 PM","2082","2163"
"4/3/2017 1:00 PM","1496","1598"
"4/3/2017 1:15 PM","1182","1220"
"4/3/2017 1:30 PM","921","956"
"4/3/2017 1:45 PM","639","666"
"4/3/2017 2:00 PM","198","221"
"4/3/2017 2:15 PM","166","182"
"4/3/2017 2:30 PM","156","171"
"4/3/2017 2:45 PM","230","253"
"4/3/2017 3:00 PM","79.1","97.7"
"4/3/2017 3:15 PM","67.3","85.4"
"4/3/2017 3:30 PM","83.4","99.5"
"4/3/2017 3:45 PM","724","751"
"4/3/2017 4:00 PM","607","633"
"4/3/2017 4:15 PM","1330","1369"
"4/3/2017 4:30 PM","1728","1710"
"4/3/2017 4:45 PM","1729","1926"
"4/3/2017 5:00 PM","637","676"
"4/3/2017 5:15 PM","571","602"
"4/3/2017 5:30 PM","418","442"
"4/3/2017 5:45 PM","279","298"
"4/3/2017 6:00 PM","46.7","62.8"
"4/3/2017 6:15 PM","95.8","114"
"4/3/2017 6:30 PM","167","187"
"4/3/2017 6:45 PM","235","256"
"4/3/2017 7:00 PM","33.7","50.2"
"4/3/2017 7:15 PM","-13.5","0.703"
"4/3/2017 7:30 PM","-14.4","0"
"4/3/2017 7:45 PM","-14.1","0"
"4/3/2017 8:00 PM","-13.6","0"
"4/3/2017 8:15 PM","-13.5","0"
"4/3/2017 8:30 PM","-13.6","0"
"4/3/2017 8:45 PM","-13.4","0"
"4/3/2017 9:00 PM","-13.1","0"
"4/3/2017 9:15 PM","-13.1","0"
"4/3/2017 9:30 PM","-13.4","0"
"4/3/2017 9:45 PM","-13.1","0"
"4/3/2017 10:00 PM","-13","0"
"4/3/2017 10:15 PM","-12.7","0"
"4/3/2017 10:30 PM","-12.4","0"
"4/3/2017 10:45 PM","-12.5","0"
"4/3/2017 11:00 PM","-12.5","0"
"4/3/2017 11:15 PM","-12.2","0"
"4/3/2017 11:30 PM","-12.3","0"
"4/3/2017 11:45 PM","-12.1","0"
