"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"6/17/2019 12:00 AM","-12.8","0"
"6/17/2019 12:15 AM","-12.8","0"
"6/17/2019 12:30 AM","-12.8","0"
"6/17/2019 12:45 AM","-12.8","0"
"6/17/2019 1:00 AM","-12.8","0"
"6/17/2019 1:15 AM","-12.8","0"
"6/17/2019 1:30 AM","-12.8","0"
"6/17/2019 1:45 AM","-12.8","0"
"6/17/2019 2:00 AM","-12.8","0"
"6/17/2019 2:15 AM","-12.9","0"
"6/17/2019 2:30 AM","-12.9","0"
"6/17/2019 2:45 AM","-12.8","0"
"6/17/2019 3:00 AM","-12.8","0"
"6/17/2019 3:15 AM","-12.5","0"
"6/17/2019 3:30 AM","-12.6","0"
"6/17/2019 3:45 AM","-12.6","0"
"6/17/2019 4:00 AM","-12.7","0"
"6/17/2019 4:15 AM","-12.6","0"
"6/17/2019 4:30 AM","-12.6","0"
"6/17/2019 4:45 AM","-12.8","0"
"6/17/2019 5:00 AM","-13.1","0"
"6/17/2019 5:15 AM","-13.1","0"
"6/17/2019 5:30 AM","-0.766","14.8"
"6/17/2019 5:45 AM","49.3","64.9"
"6/17/2019 6:00 AM","120","135"
"6/17/2019 6:15 AM","243","257"
"6/17/2019 6:30 AM","383","396"
"6/17/2019 6:45 AM","473","486"
"6/17/2019 7:00 AM","474","487"
"6/17/2019 7:15 AM","485","499"
"6/17/2019 7:30 AM","590","605"
"6/17/2019 7:45 AM","609","623"
"6/17/2019 8:00 AM","665","680"
"6/17/2019 8:15 AM","772","791"
"6/17/2019 8:30 AM","996","1012"
"6/17/2019 8:45 AM","1178","1193"
"6/17/2019 9:00 AM","1491","1515"
"6/17/2019 9:15 AM","1856","1877"
"6/17/2019 9:30 AM","2042","2063"
"6/17/2019 9:45 AM","1703","1719"
"6/17/2019 10:00 AM","1482","1499"
"6/17/2019 10:15 AM","2163","2188"
"6/17/2019 10:30 AM","2432","2457"
"6/17/2019 10:45 AM","2763","2796"
"6/17/2019 11:00 AM","2731","2758"
"6/17/2019 11:15 AM","2759","2791"
"6/17/2019 11:30 AM","2668","2699"
"6/17/2019 11:45 AM","2563","2593"
"6/17/2019 12:00 PM","2308","2336"
"6/17/2019 12:15 PM","2210","2238"
"6/17/2019 12:30 PM","2372","2401"
"6/17/2019 12:45 PM","2413","2444"
"6/17/2019 1:00 PM","2232","2260"
"6/17/2019 1:15 PM","2001","2026"
"6/17/2019 1:30 PM","2040","2066"
"6/17/2019 1:45 PM","1716","1738"
"6/17/2019 2:00 PM","1520","1541"
"6/17/2019 2:15 PM","1359","1378"
"6/17/2019 2:30 PM","1234","1254"
"6/17/2019 2:45 PM","1152","1170"
"6/17/2019 3:00 PM","1025","1043"
"6/17/2019 3:15 PM","862","880"
"6/17/2019 3:30 PM","649","667"
"6/17/2019 3:45 PM","584","603"
"6/17/2019 4:00 PM","643","661"
"6/17/2019 4:15 PM","697","714"
"6/17/2019 4:30 PM","525","543"
"6/17/2019 4:45 PM","502","521"
"6/17/2019 5:00 PM","500","517"
"6/17/2019 5:15 PM","517","534"
"6/17/2019 5:30 PM","686","705"
"6/17/2019 5:45 PM","895","913"
"6/17/2019 6:00 PM","751","768"
"6/17/2019 6:15 PM","496","513"
"6/17/2019 6:30 PM","367","385"
"6/17/2019 6:45 PM","323","342"
"6/17/2019 7:00 PM","267","285"
"6/17/2019 7:15 PM","193","209"
"6/17/2019 7:30 PM","113","130"
"6/17/2019 7:45 PM","18.9","35.1"
"6/17/2019 8:00 PM","2.2","18.5"
"6/17/2019 8:15 PM","-13.3","0.633"
"6/17/2019 8:30 PM","-13","0"
"6/17/2019 8:45 PM","-13","0"
"6/17/2019 9:00 PM","-12.5","0"
"6/17/2019 9:15 PM","-12.3","0"
"6/17/2019 9:30 PM","-12.3","0"
"6/17/2019 9:45 PM","-12.4","0"
"6/17/2019 10:00 PM","-12.5","0"
"6/17/2019 10:15 PM","-12.5","0"
"6/17/2019 10:30 PM","-12.4","0"
"6/17/2019 10:45 PM","-12.4","0"
"6/17/2019 11:00 PM","-12.3","0"
"6/17/2019 11:15 PM","-12.4","0"
"6/17/2019 11:30 PM","-12.4","0"
"6/17/2019 11:45 PM","-12.4","0"
