"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"6/5/2017 12:00 AM","-13.9","0"
"6/5/2017 12:15 AM","-14","0"
"6/5/2017 12:30 AM","-14","0"
"6/5/2017 12:45 AM","-14","0"
"6/5/2017 1:00 AM","-14","0"
"6/5/2017 1:15 AM","-14","0"
"6/5/2017 1:30 AM","-14","0"
"6/5/2017 1:45 AM","-14","0"
"6/5/2017 2:00 AM","-14","0"
"6/5/2017 2:15 AM","-14.1","0"
"6/5/2017 2:30 AM","-14","0"
"6/5/2017 2:45 AM","-14.1","0"
"6/5/2017 3:00 AM","-14.1","0"
"6/5/2017 3:15 AM","-14.1","0"
"6/5/2017 3:30 AM","-14.1","0"
"6/5/2017 3:45 AM","-14.1","0"
"6/5/2017 4:00 AM","-14","0"
"6/5/2017 4:15 AM","-14.1","0"
"6/5/2017 4:30 AM","-14","0"
"6/5/2017 4:45 AM","-14.2","0"
"6/5/2017 5:00 AM","-14.5","0"
"6/5/2017 5:15 AM","-14.5","0.591"
"6/5/2017 5:30 AM","18.3","37"
"6/5/2017 5:45 AM","61.4","80.4"
"6/5/2017 6:00 AM","163","180"
"6/5/2017 6:15 AM","251","269"
"6/5/2017 6:30 AM","369","390"
"6/5/2017 6:45 AM","540","565"
"6/5/2017 7:00 AM","839","870"
"6/5/2017 7:15 AM","922","976"
"6/5/2017 7:30 AM","1388","1396"
"6/5/2017 7:45 AM","1719","1728"
"6/5/2017 8:00 AM","1852","2012"
"6/5/2017 8:15 AM","1907","1978"
"6/5/2017 8:30 AM","2239","2327"
"6/5/2017 8:45 AM","2789","2778"
"6/5/2017 9:00 AM","3082","3144"
"6/5/2017 9:15 AM","3190","3235"
"6/5/2017 9:30 AM","3288","3340"
"6/5/2017 9:45 AM","3666","3732"
"6/5/2017 10:00 AM","3892","3943"
"6/5/2017 10:15 AM","4055","4110"
"6/5/2017 10:30 AM","4193","4233"
"6/5/2017 10:45 AM","4254","4310"
"6/5/2017 11:00 AM","4332","4390"
"6/5/2017 11:15 AM","4395","4454"
"6/5/2017 11:30 AM","4396","4465"
"6/5/2017 11:45 AM","4344","4417"
"6/5/2017 12:00 PM","4527","4345"
"6/5/2017 12:15 PM","4516","4592"
"6/5/2017 12:30 PM","4556","4610"
"6/5/2017 12:45 PM","4483","4239"
"6/5/2017 1:00 PM","4338","4118"
"6/5/2017 1:15 PM","4054","3988"
"6/5/2017 1:30 PM","3986","4165"
"6/5/2017 1:45 PM","4496","4370"
"6/5/2017 2:00 PM","4496","4458"
"6/5/2017 2:15 PM","4491","4529"
"6/5/2017 2:30 PM","4433","4508"
"6/5/2017 2:45 PM","4405","4470"
"6/5/2017 3:00 PM","4306","4369"
"6/5/2017 3:15 PM","4148","4076"
"6/5/2017 3:30 PM","3975","4031"
"6/5/2017 3:45 PM","3311","3017"
"6/5/2017 4:00 PM","3536","3583"
"6/5/2017 4:15 PM","3249","3290"
"6/5/2017 4:30 PM","2632","2843"
"6/5/2017 4:45 PM","2673","2706"
"6/5/2017 5:00 PM","2260","2292"
"6/5/2017 5:15 PM","1986","2016"
"6/5/2017 5:30 PM","1700","1726"
"6/5/2017 5:45 PM","1400","1426"
"6/5/2017 6:00 PM","1108","1134"
"6/5/2017 6:15 PM","832","857"
"6/5/2017 6:30 PM","587","611"
"6/5/2017 6:45 PM","378","400"
"6/5/2017 7:00 PM","230","250"
"6/5/2017 7:15 PM","140","161"
"6/5/2017 7:30 PM","95.6","115"
"6/5/2017 7:45 PM","23.8","47.7"
"6/5/2017 8:00 PM","24.7","42.9"
"6/5/2017 8:15 PM","-7.18","9.8"
"6/5/2017 8:30 PM","-14.3","0"
"6/5/2017 8:45 PM","-14.4","0"
"6/5/2017 9:00 PM","-13.9","0"
"6/5/2017 9:15 PM","-14","0"
"6/5/2017 9:30 PM","-14","0"
"6/5/2017 9:45 PM","-14","0"
"6/5/2017 10:00 PM","-13.9","0"
"6/5/2017 10:15 PM","-13.9","0"
"6/5/2017 10:30 PM","-14.1","0"
"6/5/2017 10:45 PM","-14.3","0"
"6/5/2017 11:00 PM","-14.2","0"
"6/5/2017 11:15 PM","-14.1","0"
"6/5/2017 11:30 PM","-14.1","0"
"6/5/2017 11:45 PM","-14.1","0"
