"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"12/6/2018 12:00 AM","-10.2","0"
"12/6/2018 12:15 AM","-10.2","0"
"12/6/2018 12:30 AM","-10.2","0"
"12/6/2018 12:45 AM","-10.2","0"
"12/6/2018 1:00 AM","-10.2","0"
"12/6/2018 1:15 AM","-10.2","0"
"12/6/2018 1:30 AM","-10.1","0"
"12/6/2018 1:45 AM","-10.2","0"
"12/6/2018 2:00 AM","-10.2","0"
"12/6/2018 2:15 AM","-10.2","0"
"12/6/2018 2:30 AM","-10.3","0"
"12/6/2018 2:45 AM","-10.2","0"
"12/6/2018 3:00 AM","-17.8","0"
"12/6/2018 3:15 AM","-12","0"
"12/6/2018 3:30 AM","-12.1","0"
"12/6/2018 3:45 AM","-11.4","0"
"12/6/2018 4:00 AM","-16.5","0"
"12/6/2018 4:15 AM","-11.6","0"
"12/6/2018 4:30 AM","-13.9","0"
"12/6/2018 4:45 AM","-11.4","0"
"12/6/2018 5:00 AM","-15.2","0"
"12/6/2018 5:15 AM","-12.8","0"
"12/6/2018 5:30 AM","-14.3","0"
"12/6/2018 5:45 AM","-13.7","0"
"12/6/2018 6:00 AM","-14.7","0"
"12/6/2018 6:15 AM","-12.8","0"
"12/6/2018 6:30 AM","-12.8","0"
"12/6/2018 6:45 AM","-11.9","0"
"12/6/2018 7:00 AM","-13.5","2.49"
"12/6/2018 7:15 AM","8.35","23.5"
"12/6/2018 7:30 AM","30.4","47.8"
"12/6/2018 7:45 AM","70.1","84.7"
"12/6/2018 8:00 AM","115","129"
"12/6/2018 8:15 AM","140","153"
"12/6/2018 8:30 AM","192","206"
"12/6/2018 8:45 AM","217","232"
"12/6/2018 9:00 AM","220","234"
"12/6/2018 9:15 AM","291","304"
"12/6/2018 9:30 AM","312","324"
"12/6/2018 9:45 AM","324","337"
"12/6/2018 10:00 AM","206","220"
"12/6/2018 10:15 AM","188","200"
"12/6/2018 10:30 AM","168","181"
"12/6/2018 10:45 AM","227","237"
"12/6/2018 11:00 AM","213","227"
"12/6/2018 11:15 AM","206","219"
"12/6/2018 11:30 AM","154","165"
"12/6/2018 11:45 AM","119","134"
"12/6/2018 12:00 PM","122","134"
"12/6/2018 12:15 PM","87.2","101"
"12/6/2018 12:30 PM","75.2","89.6"
"12/6/2018 12:45 PM","79.8","93.2"
"12/6/2018 1:00 PM","66.5","79.5"
"12/6/2018 1:15 PM","66.2","80.4"
"12/6/2018 1:30 PM","58.7","71.1"
"12/6/2018 1:45 PM","73.4","85.6"
"12/6/2018 2:00 PM","60.9","76.7"
"12/6/2018 2:15 PM","69.5","82.8"
"12/6/2018 2:30 PM","66.7","79.3"
"12/6/2018 2:45 PM","34.3","47.5"
"12/6/2018 3:00 PM","41.4","54.8"
"12/6/2018 3:15 PM","32","44.6"
"12/6/2018 3:30 PM","-4.76","9.45"
"12/6/2018 3:45 PM","-10.6","2.05"
"12/6/2018 4:00 PM","-13.3","3"
"12/6/2018 4:15 PM","-14.2","0.285"
"12/6/2018 4:30 PM","-13.9","0"
"12/6/2018 4:45 PM","-15.5","0"
"12/6/2018 5:00 PM","-10.5","0"
"12/6/2018 5:15 PM","-12.4","0"
"12/6/2018 5:30 PM","-15","0"
"12/6/2018 5:45 PM","-12.6","0"
"12/6/2018 6:00 PM","-15.3","0"
"12/6/2018 6:15 PM","-11.9","0"
"12/6/2018 6:30 PM","-10.9","0"
"12/6/2018 6:45 PM","-16.4","0"
"12/6/2018 7:00 PM","-14","0"
"12/6/2018 7:15 PM","-11.4","0"
"12/6/2018 7:30 PM","-14.1","0"
"12/6/2018 7:45 PM","-13.7","0"
"12/6/2018 8:00 PM","-11.8","0"
"12/6/2018 8:15 PM","-14","0"
"12/6/2018 8:30 PM","-12.7","0"
"12/6/2018 8:45 PM","-12.7","0"
"12/6/2018 9:00 PM","-10.3","0"
"12/6/2018 9:15 PM","-12.5","0"
"12/6/2018 9:30 PM","-10.2","0"
"12/6/2018 9:45 PM","-12.6","0"
"12/6/2018 10:00 PM","-10.4","0"
"12/6/2018 10:15 PM","-10.2","0"
"12/6/2018 10:30 PM","-10.2","0"
"12/6/2018 10:45 PM","-10.2","0"
"12/6/2018 11:00 PM","-10.2","0"
"12/6/2018 11:15 PM","-10.3","0"
"12/6/2018 11:30 PM","-10.2","0"
"12/6/2018 11:45 PM","-10.2","0"
