"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"2/22/2017 12:00 AM","-15","0"
"2/22/2017 12:15 AM","-15.2","0"
"2/22/2017 12:30 AM","-14.9","0"
"2/22/2017 12:45 AM","-15.2","0"
"2/22/2017 1:00 AM","-15","0"
"2/22/2017 1:15 AM","-15.1","0"
"2/22/2017 1:30 AM","-14.8","0"
"2/22/2017 1:45 AM","-14.9","0"
"2/22/2017 2:00 AM","-14.6","0"
"2/22/2017 2:15 AM","-14.6","0"
"2/22/2017 2:30 AM","-14.8","0"
"2/22/2017 2:45 AM","-14.9","0"
"2/22/2017 3:00 AM","-13.7","0"
"2/22/2017 3:15 AM","-13.7","0"
"2/22/2017 3:30 AM","-14.6","0"
"2/22/2017 3:45 AM","-14.1","0"
"2/22/2017 4:00 AM","-13.8","0"
"2/22/2017 4:15 AM","-14","0"
"2/22/2017 4:30 AM","-15.2","0"
"2/22/2017 4:45 AM","-14.2","0"
"2/22/2017 5:00 AM","-13.6","0"
"2/22/2017 5:15 AM","-12.9","0"
"2/22/2017 5:30 AM","-14.4","0"
"2/22/2017 5:45 AM","-13.7","0"
"2/22/2017 6:00 AM","-15.9","0"
"2/22/2017 6:15 AM","-16.2","0"
"2/22/2017 6:30 AM","-14.1","1.8"
"2/22/2017 6:45 AM","16.4","33.6"
"2/22/2017 7:00 AM","103","124"
"2/22/2017 7:15 AM","202","226"
"2/22/2017 7:30 AM","298","319"
"2/22/2017 7:45 AM","476","497"
"2/22/2017 8:00 AM","579","623"
"2/22/2017 8:15 AM","791","815"
"2/22/2017 8:30 AM","993","1017"
"2/22/2017 8:45 AM","1302","1398"
"2/22/2017 9:00 AM","1572","1571"
"2/22/2017 9:15 AM","2268","2278"
"2/22/2017 9:30 AM","2417","2475"
"2/22/2017 9:45 AM","2784","2955"
"2/22/2017 10:00 AM","3070","3068"
"2/22/2017 10:15 AM","3877","3911"
"2/22/2017 10:30 AM","3515","3343"
"2/22/2017 10:45 AM","2634","2629"
"2/22/2017 11:00 AM","3685","4056"
"2/22/2017 11:15 AM","3371","3570"
"2/22/2017 11:30 AM","2275","2321"
"2/22/2017 11:45 AM","3244","3341"
"2/22/2017 12:00 PM","3989","4118"
"2/22/2017 12:15 PM","3463","3701"
"2/22/2017 12:30 PM","2319","2308"
"2/22/2017 12:45 PM","2234","2080"
"2/22/2017 1:00 PM","2015","2461"
"2/22/2017 1:15 PM","3899","4031"
"2/22/2017 1:30 PM","3444","3533"
"2/22/2017 1:45 PM","3503","3454"
"2/22/2017 2:00 PM","1948","2012"
"2/22/2017 2:15 PM","1381","1368"
"2/22/2017 2:30 PM","2325","2348"
"2/22/2017 2:45 PM","2032","2135"
"2/22/2017 3:00 PM","2240","2397"
"2/22/2017 3:15 PM","1542","1659"
"2/22/2017 3:30 PM","1708","1662"
"2/22/2017 3:45 PM","1794","1925"
"2/22/2017 4:00 PM","1329","1358"
"2/22/2017 4:15 PM","824","822"
"2/22/2017 4:30 PM","460","524"
"2/22/2017 4:45 PM","195","217"
"2/22/2017 5:00 PM","47.8","72.8"
"2/22/2017 5:15 PM","20.6","45"
"2/22/2017 5:30 PM","-6.16","17.2"
"2/22/2017 5:45 PM","-22.2","0"
"2/22/2017 6:00 PM","-24.4","0"
"2/22/2017 6:15 PM","-22.6","0"
"2/22/2017 6:30 PM","-23.1","0"
"2/22/2017 6:45 PM","-21.3","0"
"2/22/2017 7:00 PM","-23.1","0"
"2/22/2017 7:15 PM","-24.7","0"
"2/22/2017 7:30 PM","-21.9","0"
"2/22/2017 7:45 PM","-23.4","0"
"2/22/2017 8:00 PM","-21.7","0"
"2/22/2017 8:15 PM","-23.5","0"
"2/22/2017 8:30 PM","-23.7","0"
"2/22/2017 8:45 PM","-23.3","0"
"2/22/2017 9:00 PM","-21.3","0"
"2/22/2017 9:15 PM","-23.7","0"
"2/22/2017 9:30 PM","-23.2","0"
"2/22/2017 9:45 PM","-24.4","0"
"2/22/2017 10:00 PM","-22","0"
"2/22/2017 10:15 PM","-20.6","0"
"2/22/2017 10:30 PM","-19.5","0"
"2/22/2017 10:45 PM","-18.2","0"
"2/22/2017 11:00 PM","-17.7","0"
"2/22/2017 11:15 PM","-17.7","0"
"2/22/2017 11:30 PM","-17.7","0"
"2/22/2017 11:45 PM","-16.2","0"
