"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"6/17/2018 12:00 AM","-13.9","0"
"6/17/2018 12:15 AM","-13.9","0"
"6/17/2018 12:30 AM","-13.8","0"
"6/17/2018 12:45 AM","-13.8","0"
"6/17/2018 1:00 AM","-13.9","0"
"6/17/2018 1:15 AM","-13.8","0"
"6/17/2018 1:30 AM","-13.8","0"
"6/17/2018 1:45 AM","-13.9","0"
"6/17/2018 2:00 AM","-13.8","0"
"6/17/2018 2:15 AM","-13.8","0"
"6/17/2018 2:30 AM","-13.9","0"
"6/17/2018 2:45 AM","-13.9","0"
"6/17/2018 3:00 AM","-13.9","0"
"6/17/2018 3:15 AM","-13.9","0"
"6/17/2018 3:30 AM","-13.9","0"
"6/17/2018 3:45 AM","-13.9","0"
"6/17/2018 4:00 AM","-14","0"
"6/17/2018 4:15 AM","-14","0"
"6/17/2018 4:30 AM","-13.8","0"
"6/17/2018 4:45 AM","-14.1","0"
"6/17/2018 5:00 AM","-14.4","0"
"6/17/2018 5:15 AM","-14.5","0"
"6/17/2018 5:30 AM","23.4","42.1"
"6/17/2018 5:45 AM","113","131"
"6/17/2018 6:00 AM","200","219"
"6/17/2018 6:15 AM","305","322"
"6/17/2018 6:30 AM","430","446"
"6/17/2018 6:45 AM","563","580"
"6/17/2018 7:00 AM","709","734"
"6/17/2018 7:15 AM","1013","1035"
"6/17/2018 7:30 AM","1345","1373"
"6/17/2018 7:45 AM","1409","1434"
"6/17/2018 8:00 AM","1651","1678"
"6/17/2018 8:15 AM","1850","1873"
"6/17/2018 8:30 AM","2186","2219"
"6/17/2018 8:45 AM","2415","2455"
"6/17/2018 9:00 AM","2583","2613"
"6/17/2018 9:15 AM","2783","2814"
"6/17/2018 9:30 AM","3024","3062"
"6/17/2018 9:45 AM","3268","3309"
"6/17/2018 10:00 AM","3494","3544"
"6/17/2018 10:15 AM","3644","3694"
"6/17/2018 10:30 AM","3727","3781"
"6/17/2018 10:45 AM","3808","3863"
"6/17/2018 11:00 AM","3837","3890"
"6/17/2018 11:15 AM","3963","4016"
"6/17/2018 11:30 AM","3777","3889"
"6/17/2018 11:45 AM","3966","4066"
"6/17/2018 12:00 PM","4032","4097"
"6/17/2018 12:15 PM","3541","3592"
"6/17/2018 12:30 PM","4076","4121"
"6/17/2018 12:45 PM","4061","4117"
"6/17/2018 1:00 PM","3738","3844"
"6/17/2018 1:15 PM","4082","4106"
"6/17/2018 1:30 PM","4078","4137"
"6/17/2018 1:45 PM","4012","4102"
"6/17/2018 2:00 PM","4028","4112"
"6/17/2018 2:15 PM","3388","3621"
"6/17/2018 2:30 PM","3402","3549"
"6/17/2018 2:45 PM","3395","3358"
"6/17/2018 3:00 PM","2388","2608"
"6/17/2018 3:15 PM","3726","3779"
"6/17/2018 3:30 PM","3464","3517"
"6/17/2018 3:45 PM","2380","2253"
"6/17/2018 4:00 PM","3014","3077"
"6/17/2018 4:15 PM","2834","2875"
"6/17/2018 4:30 PM","2572","2612"
"6/17/2018 4:45 PM","2332","2369"
"6/17/2018 5:00 PM","1943","1924"
"6/17/2018 5:15 PM","1864","1895"
"6/17/2018 5:30 PM","1506","1443"
"6/17/2018 5:45 PM","1284","1312"
"6/17/2018 6:00 PM","1046","1073"
"6/17/2018 6:15 PM","819","845"
"6/17/2018 6:30 PM","603","630"
"6/17/2018 6:45 PM","428","457"
"6/17/2018 7:00 PM","284","311"
"6/17/2018 7:15 PM","185","213"
"6/17/2018 7:30 PM","110","139"
"6/17/2018 7:45 PM","53.1","80.4"
"6/17/2018 8:00 PM","9.41","31.6"
"6/17/2018 8:15 PM","-7.67","10.3"
"6/17/2018 8:30 PM","-15.5","0.043"
"6/17/2018 8:45 PM","-14.1","0"
"6/17/2018 9:00 PM","-13.6","0"
"6/17/2018 9:15 PM","-13.5","0"
"6/17/2018 9:30 PM","-13.5","0"
"6/17/2018 9:45 PM","-13.6","0"
"6/17/2018 10:00 PM","-13.6","0"
"6/17/2018 10:15 PM","-13.6","0"
"6/17/2018 10:30 PM","-13.7","0"
"6/17/2018 10:45 PM","-13.7","0"
"6/17/2018 11:00 PM","-13.6","0"
"6/17/2018 11:15 PM","-13.6","0"
"6/17/2018 11:30 PM","-13.6","0"
"6/17/2018 11:45 PM","-13.8","0"
