"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"6/13/2020 12:00 AM","-13.9","0"
"6/13/2020 12:15 AM","-13.9","0"
"6/13/2020 12:30 AM","-13.8","0"
"6/13/2020 12:45 AM","-13.9","0"
"6/13/2020 1:00 AM","-13.9","0"
"6/13/2020 1:15 AM","-13.9","0"
"6/13/2020 1:30 AM","-13.9","0"
"6/13/2020 1:45 AM","-13.9","0"
"6/13/2020 2:00 AM","-14","0"
"6/13/2020 2:15 AM","-13.9","0"
"6/13/2020 2:30 AM","-14","0"
"6/13/2020 2:45 AM","-13.9","0"
"6/13/2020 3:00 AM","-14","0"
"6/13/2020 3:15 AM","-14","0"
"6/13/2020 3:30 AM","-14","0"
"6/13/2020 3:45 AM","-13.7","0"
"6/13/2020 4:00 AM","-13.6","0"
"6/13/2020 4:15 AM","-13.5","0"
"6/13/2020 4:30 AM","-13.5","0"
"6/13/2020 4:45 AM","-13.7","0"
"6/13/2020 5:00 AM","-13.9","0"
"6/13/2020 5:15 AM","-13","0.867"
"6/13/2020 5:30 AM","14.7","31.6"
"6/13/2020 5:45 AM","48.6","65.8"
"6/13/2020 6:00 AM","91.7","108"
"6/13/2020 6:15 AM","206","223"
"6/13/2020 6:30 AM","268","284"
"6/13/2020 6:45 AM","367","403"
"6/13/2020 7:00 AM","350","368"
"6/13/2020 7:15 AM","449","466"
"6/13/2020 7:30 AM","576","569"
"6/13/2020 7:45 AM","1105","1113"
"6/13/2020 8:00 AM","1404","1434"
"6/13/2020 8:15 AM","2117","2146"
"6/13/2020 8:30 AM","2384","2411"
"6/13/2020 8:45 AM","2644","2671"
"6/13/2020 9:00 AM","3065","3000"
"6/13/2020 9:15 AM","3064","2904"
"6/13/2020 9:30 AM","3126","3079"
"6/13/2020 9:45 AM","3537","3591"
"6/13/2020 10:00 AM","3738","3742"
"6/13/2020 10:15 AM","3828","3964"
"6/13/2020 10:30 AM","3514","3555"
"6/13/2020 10:45 AM","3867","3938"
"6/13/2020 11:00 AM","4140","3948"
"6/13/2020 11:15 AM","2920","2963"
"6/13/2020 11:30 AM","3829","3686"
"6/13/2020 11:45 AM","4079","4355"
"6/13/2020 12:00 PM","3497","3546"
"6/13/2020 12:15 PM","3038","3083"
"6/13/2020 12:30 PM","3546","3753"
"6/13/2020 12:45 PM","4450","4486"
"6/13/2020 1:00 PM","4544","4560"
"6/13/2020 1:15 PM","4219","4186"
"6/13/2020 1:30 PM","4333","4496"
"6/13/2020 1:45 PM","4442","4519"
"6/13/2020 2:00 PM","4352","4422"
"6/13/2020 2:15 PM","4282","4361"
"6/13/2020 2:30 PM","4166","4248"
"6/13/2020 2:45 PM","4066","4142"
"6/13/2020 3:00 PM","3942","4013"
"6/13/2020 3:15 PM","3775","3845"
"6/13/2020 3:30 PM","3586","3651"
"6/13/2020 3:45 PM","2640","2683"
"6/13/2020 4:00 PM","3022","3086"
"6/13/2020 4:15 PM","2623","2742"
"6/13/2020 4:30 PM","2795","2834"
"6/13/2020 4:45 PM","2533","2569"
"6/13/2020 5:00 PM","2007","2018"
"6/13/2020 5:15 PM","1979","2010"
"6/13/2020 5:30 PM","1679","1706"
"6/13/2020 5:45 PM","1377","1402"
"6/13/2020 6:00 PM","1132","1156"
"6/13/2020 6:15 PM","878","900"
"6/13/2020 6:30 PM","508","523"
"6/13/2020 6:45 PM","400","422"
"6/13/2020 7:00 PM","237","259"
"6/13/2020 7:15 PM","133","154"
"6/13/2020 7:30 PM","82.2","104"
"6/13/2020 7:45 PM","31.1","51.3"
"6/13/2020 8:00 PM","22.5","40.5"
"6/13/2020 8:15 PM","-4.94","13.2"
"6/13/2020 8:30 PM","-14.7","0.205"
"6/13/2020 8:45 PM","-14","0"
"6/13/2020 9:00 PM","-13.6","0"
"6/13/2020 9:15 PM","-13.7","0"
"6/13/2020 9:30 PM","-13.9","0"
"6/13/2020 9:45 PM","-13.9","0"
"6/13/2020 10:00 PM","-13.9","0"
"6/13/2020 10:15 PM","-13.9","0"
"6/13/2020 10:30 PM","-13.9","0"
"6/13/2020 10:45 PM","-13.9","0"
"6/13/2020 11:00 PM","-13.9","0"
"6/13/2020 11:15 PM","-13.9","0"
"6/13/2020 11:30 PM","-13.9","0"
"6/13/2020 11:45 PM","-13.9","0"
