"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"12/16/2019 12:00 AM","-10.3","0"
"12/16/2019 12:15 AM","-10.3","0"
"12/16/2019 12:30 AM","-10.2","0"
"12/16/2019 12:45 AM","-10.2","0"
"12/16/2019 1:00 AM","-10.3","0"
"12/16/2019 1:15 AM","-10.3","0"
"12/16/2019 1:30 AM","-10.3","0"
"12/16/2019 1:45 AM","-10.3","0"
"12/16/2019 2:00 AM","-22","0"
"12/16/2019 2:15 AM","-13.2","0"
"12/16/2019 2:30 AM","-13.7","0"
"12/16/2019 2:45 AM","-12.8","0"
"12/16/2019 3:00 AM","-12.3","0"
"12/16/2019 3:15 AM","-13.9","0"
"12/16/2019 3:30 AM","-12.2","0"
"12/16/2019 3:45 AM","-14.8","0"
"12/16/2019 4:00 AM","-18.3","0"
"12/16/2019 4:15 AM","-15.2","0"
"12/16/2019 4:30 AM","-13.5","0"
"12/16/2019 4:45 AM","-14.7","0"
"12/16/2019 5:00 AM","-13.8","0"
"12/16/2019 5:15 AM","-14.4","0"
"12/16/2019 5:30 AM","-14.2","0"
"12/16/2019 5:45 AM","-15.4","0"
"12/16/2019 6:00 AM","-14.2","0"
"12/16/2019 6:15 AM","-12.7","0"
"12/16/2019 6:30 AM","-13","0"
"12/16/2019 6:45 AM","-13.6","0"
"12/16/2019 7:00 AM","-14.2","0"
"12/16/2019 7:15 AM","-13.8","0"
"12/16/2019 7:30 AM","-14.8","0"
"12/16/2019 7:45 AM","-12.5","2.01"
"12/16/2019 8:00 AM","-9.58","7.24"
"12/16/2019 8:15 AM","1.65","17.4"
"12/16/2019 8:30 AM","5.84","19"
"12/16/2019 8:45 AM","7.4","22.7"
"12/16/2019 9:00 AM","9.54","24"
"12/16/2019 9:15 AM","12.5","27.5"
"12/16/2019 9:30 AM","14.2","29.8"
"12/16/2019 9:45 AM","20.2","33.8"
"12/16/2019 10:00 AM","10.8","25.4"
"12/16/2019 10:15 AM","15.9","29.8"
"12/16/2019 10:30 AM","25.2","40"
"12/16/2019 10:45 AM","27.3","42"
"12/16/2019 11:00 AM","25.1","39"
"12/16/2019 11:15 AM","20.6","35.9"
"12/16/2019 11:30 AM","24.2","37.7"
"12/16/2019 11:45 AM","24.5","38.8"
"12/16/2019 12:00 PM","24.4","37.7"
"12/16/2019 12:15 PM","26.8","41.8"
"12/16/2019 12:30 PM","27.9","42.2"
"12/16/2019 12:45 PM","29.3","44.1"
"12/16/2019 1:00 PM","25.1","38"
"12/16/2019 1:15 PM","23.8","37.7"
"12/16/2019 1:30 PM","20.9","35.8"
"12/16/2019 1:45 PM","15","29.5"
"12/16/2019 2:00 PM","11.2","25.3"
"12/16/2019 2:15 PM","8.42","22"
"12/16/2019 2:30 PM","5.03","19.6"
"12/16/2019 2:45 PM","2.44","17.1"
"12/16/2019 3:00 PM","-1.36","13.8"
"12/16/2019 3:15 PM","-8.12","6.5"
"12/16/2019 3:30 PM","-14.2","1.34"
"12/16/2019 3:45 PM","-14.8","0"
"12/16/2019 4:00 PM","-14.7","0"
"12/16/2019 4:15 PM","-13.4","0"
"12/16/2019 4:30 PM","-15","0"
"12/16/2019 4:45 PM","-12.7","0"
"12/16/2019 5:00 PM","-14.2","0"
"12/16/2019 5:15 PM","-13","0"
"12/16/2019 5:30 PM","-13.7","0"
"12/16/2019 5:45 PM","-15.1","0"
"12/16/2019 6:00 PM","-13.9","0"
"12/16/2019 6:15 PM","-11.8","0"
"12/16/2019 6:30 PM","-14.1","0"
"12/16/2019 6:45 PM","-13.4","0"
"12/16/2019 7:00 PM","-13.3","0"
"12/16/2019 7:15 PM","-13","0"
"12/16/2019 7:30 PM","-13.8","0"
"12/16/2019 7:45 PM","-14.4","0"
"12/16/2019 8:00 PM","-11.2","0"
"12/16/2019 8:15 PM","-11.8","0"
"12/16/2019 8:30 PM","-11","0"
"12/16/2019 8:45 PM","-11.8","0"
"12/16/2019 9:00 PM","-11.8","0"
"12/16/2019 9:15 PM","-11","0"
"12/16/2019 9:30 PM","-11.8","0"
"12/16/2019 9:45 PM","-11.2","0"
"12/16/2019 10:00 PM","-10.2","0"
"12/16/2019 10:15 PM","-10.2","0"
"12/16/2019 10:30 PM","-10.2","0"
"12/16/2019 10:45 PM","-10.2","0"
"12/16/2019 11:00 PM","-10.2","0"
"12/16/2019 11:15 PM","-10.2","0"
"12/16/2019 11:30 PM","-10.2","0"
"12/16/2019 11:45 PM","-10.3","0"
