"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"8/7/2018 12:00 AM","-13.7","0"
"8/7/2018 12:15 AM","-13.7","0"
"8/7/2018 12:30 AM","-13.8","0"
"8/7/2018 12:45 AM","-13.8","0"
"8/7/2018 1:00 AM","-14","0"
"8/7/2018 1:15 AM","-13.9","0"
"8/7/2018 1:30 AM","-13.8","0"
"8/7/2018 1:45 AM","-13.9","0"
"8/7/2018 2:00 AM","-13.9","0"
"8/7/2018 2:15 AM","-13.8","0"
"8/7/2018 2:30 AM","-13.8","0"
"8/7/2018 2:45 AM","-13.8","0"
"8/7/2018 3:00 AM","-13.7","0"
"8/7/2018 3:15 AM","-13.8","0"
"8/7/2018 3:30 AM","-13.8","0"
"8/7/2018 3:45 AM","-13.9","0"
"8/7/2018 4:00 AM","-13.9","0"
"8/7/2018 4:15 AM","-13.7","0"
"8/7/2018 4:30 AM","-13.7","0"
"8/7/2018 4:45 AM","-13.7","0"
"8/7/2018 5:00 AM","-13.8","0"
"8/7/2018 5:15 AM","-14","0"
"8/7/2018 5:30 AM","-14.2","0"
"8/7/2018 5:45 AM","-14.6","0"
"8/7/2018 6:00 AM","-14.6","0"
"8/7/2018 6:15 AM","11","28.7"
"8/7/2018 6:30 AM","57.8","76"
"8/7/2018 6:45 AM","84.2","103"
"8/7/2018 7:00 AM","108","125"
"8/7/2018 7:15 AM","177","194"
"8/7/2018 7:30 AM","305","323"
"8/7/2018 7:45 AM","617","636"
"8/7/2018 8:00 AM","898","915"
"8/7/2018 8:15 AM","1171","1195"
"8/7/2018 8:30 AM","910","933"
"8/7/2018 8:45 AM","1363","1391"
"8/7/2018 9:00 AM","1659","1686"
"8/7/2018 9:15 AM","1352","1375"
"8/7/2018 9:30 AM","1578","1600"
"8/7/2018 9:45 AM","2186","2349"
"8/7/2018 10:00 AM","2383","2325"
"8/7/2018 10:15 AM","2490","2588"
"8/7/2018 10:30 AM","2755","2908"
"8/7/2018 10:45 AM","3261","3061"
"8/7/2018 11:00 AM","4020","4040"
"8/7/2018 11:15 AM","3410","3447"
"8/7/2018 11:30 AM","2662","2766"
"8/7/2018 11:45 AM","3180","3250"
"8/7/2018 12:00 PM","3197","3223"
"8/7/2018 12:15 PM","1864","1889"
"8/7/2018 12:30 PM","1832","1858"
"8/7/2018 12:45 PM","1158","1192"
"8/7/2018 1:00 PM","623","641"
"8/7/2018 1:15 PM","803","827"
"8/7/2018 1:30 PM","1097","1119"
"8/7/2018 1:45 PM","1396","1420"
"8/7/2018 2:00 PM","1171","1193"
"8/7/2018 2:15 PM","1367","1390"
"8/7/2018 2:30 PM","1698","1724"
"8/7/2018 2:45 PM","1548","1575"
"8/7/2018 3:00 PM","1546","1574"
"8/7/2018 3:15 PM","2098","2127"
"8/7/2018 3:30 PM","1457","1485"
"8/7/2018 3:45 PM","1316","1339"
"8/7/2018 4:00 PM","1359","1383"
"8/7/2018 4:15 PM","1725","1777"
"8/7/2018 4:30 PM","1364","1397"
"8/7/2018 4:45 PM","2159","2193"
"8/7/2018 5:00 PM","2512","2526"
"8/7/2018 5:15 PM","750","784"
"8/7/2018 5:30 PM","640","666"
"8/7/2018 5:45 PM","648","668"
"8/7/2018 6:00 PM","332","351"
"8/7/2018 6:15 PM","228","248"
"8/7/2018 6:30 PM","259","281"
"8/7/2018 6:45 PM","321","341"
"8/7/2018 7:00 PM","256","274"
"8/7/2018 7:15 PM","140","159"
"8/7/2018 7:30 PM","43.6","63.1"
"8/7/2018 7:45 PM","14","31.3"
"8/7/2018 8:00 PM","-15","0.551"
"8/7/2018 8:15 PM","-13.9","0"
"8/7/2018 8:30 PM","-13.7","0"
"8/7/2018 8:45 PM","-13.6","0"
"8/7/2018 9:00 PM","-13.9","0"
"8/7/2018 9:15 PM","-13.9","0"
"8/7/2018 9:30 PM","-13.9","0"
"8/7/2018 9:45 PM","-13.9","0"
"8/7/2018 10:00 PM","-13.8","0"
"8/7/2018 10:15 PM","-13.7","0"
"8/7/2018 10:30 PM","-13.8","0"
"8/7/2018 10:45 PM","-13.8","0"
"8/7/2018 11:00 PM","-13.8","0"
"8/7/2018 11:15 PM","-13.7","0"
"8/7/2018 11:30 PM","-13.8","0"
"8/7/2018 11:45 PM","-13.9","0"
