"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"3/31/2020 12:00 AM","-10.1","0"
"3/31/2020 12:15 AM","-10.2","0"
"3/31/2020 12:30 AM","-10","0"
"3/31/2020 12:45 AM","-10.1","0"
"3/31/2020 1:00 AM","-10","0"
"3/31/2020 1:15 AM","-10","0"
"3/31/2020 1:30 AM","-10","0"
"3/31/2020 1:45 AM","-10","0"
"3/31/2020 2:00 AM","-10.1","0"
"3/31/2020 2:15 AM","-10.1","0"
"3/31/2020 2:30 AM","-10.1","0"
"3/31/2020 2:45 AM","-10","0"
"3/31/2020 3:00 AM","-10","0"
"3/31/2020 3:15 AM","-10","0"
"3/31/2020 3:30 AM","-10","0"
"3/31/2020 3:45 AM","-9.98","0"
"3/31/2020 4:00 AM","-10.7","0"
"3/31/2020 4:15 AM","-10.2","0"
"3/31/2020 4:30 AM","-10.7","0"
"3/31/2020 4:45 AM","-9.87","0"
"3/31/2020 5:00 AM","-13.6","0"
"3/31/2020 5:15 AM","-11.7","0"
"3/31/2020 5:30 AM","-10.3","0"
"3/31/2020 5:45 AM","-12.4","0"
"3/31/2020 6:00 AM","-12.2","0"
"3/31/2020 6:15 AM","-13","0"
"3/31/2020 6:30 AM","-9.31","2.79"
"3/31/2020 6:45 AM","14.4","30.2"
"3/31/2020 7:00 AM","75.2","89.7"
"3/31/2020 7:15 AM","158","171"
"3/31/2020 7:30 AM","268","280"
"3/31/2020 7:45 AM","383","398"
"3/31/2020 8:00 AM","476","489"
"3/31/2020 8:15 AM","655","669"
"3/31/2020 8:30 AM","645","657"
"3/31/2020 8:45 AM","599","611"
"3/31/2020 9:00 AM","651","663"
"3/31/2020 9:15 AM","656","668"
"3/31/2020 9:30 AM","634","647"
"3/31/2020 9:45 AM","669","683"
"3/31/2020 10:00 AM","614","629"
"3/31/2020 10:15 AM","835","851"
"3/31/2020 10:30 AM","1074","1089"
"3/31/2020 10:45 AM","1182","1203"
"3/31/2020 11:00 AM","1584","1599"
"3/31/2020 11:15 AM","2149","2175"
"3/31/2020 11:30 AM","1992","2013"
"3/31/2020 11:45 AM","1648","1668"
"3/31/2020 12:00 PM","1449","1466"
"3/31/2020 12:15 PM","1573","1594"
"3/31/2020 12:30 PM","1765","1785"
"3/31/2020 12:45 PM","1754","1775"
"3/31/2020 1:00 PM","1928","1949"
"3/31/2020 1:15 PM","1927","1949"
"3/31/2020 1:30 PM","1859","1881"
"3/31/2020 1:45 PM","1896","1920"
"3/31/2020 2:00 PM","1690","1710"
"3/31/2020 2:15 PM","1848","1872"
"3/31/2020 2:30 PM","1746","1766"
"3/31/2020 2:45 PM","1318","1337"
"3/31/2020 3:00 PM","1114","1132"
"3/31/2020 3:15 PM","1042","1059"
"3/31/2020 3:30 PM","886","902"
"3/31/2020 3:45 PM","640","657"
"3/31/2020 4:00 PM","616","633"
"3/31/2020 4:15 PM","653","670"
"3/31/2020 4:30 PM","765","781"
"3/31/2020 4:45 PM","477","492"
"3/31/2020 5:00 PM","252","267"
"3/31/2020 5:15 PM","216","231"
"3/31/2020 5:30 PM","311","328"
"3/31/2020 5:45 PM","335","351"
"3/31/2020 6:00 PM","214","230"
"3/31/2020 6:15 PM","66.8","84.9"
"3/31/2020 6:30 PM","42.4","57.5"
"3/31/2020 6:45 PM","14.5","28.5"
"3/31/2020 7:00 PM","1.21","15.6"
"3/31/2020 7:15 PM","-11","0.698"
"3/31/2020 7:30 PM","-10.6","0"
"3/31/2020 7:45 PM","-10.2","0"
"3/31/2020 8:00 PM","-10","0"
"3/31/2020 8:15 PM","-10.1","0"
"3/31/2020 8:30 PM","-10.1","0"
"3/31/2020 8:45 PM","-10.1","0"
"3/31/2020 9:00 PM","-10.1","0"
"3/31/2020 9:15 PM","-10.1","0"
"3/31/2020 9:30 PM","-10","0"
"3/31/2020 9:45 PM","-10","0"
"3/31/2020 10:00 PM","-9.96","0"
"3/31/2020 10:15 PM","-10","0"
"3/31/2020 10:30 PM","-10.1","0"
"3/31/2020 10:45 PM","-10","0"
"3/31/2020 11:00 PM","-10","0"
"3/31/2020 11:15 PM","-10.1","0"
"3/31/2020 11:30 PM","-10","0"
"3/31/2020 11:45 PM","-10","0"
