"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"2/7/2020 12:00 AM","-10.2","0"
"2/7/2020 12:15 AM","-10.1","0"
"2/7/2020 12:30 AM","-10.1","0"
"2/7/2020 12:45 AM","-10.1","0"
"2/7/2020 1:00 AM","-10.1","0"
"2/7/2020 1:15 AM","-10.1","0"
"2/7/2020 1:30 AM","-10.1","0"
"2/7/2020 1:45 AM","-10.2","0"
"2/7/2020 2:00 AM","-16.6","0"
"2/7/2020 2:15 AM","-11.8","0"
"2/7/2020 2:30 AM","-11.5","0"
"2/7/2020 2:45 AM","-11.2","0"
"2/7/2020 3:00 AM","-11.8","0"
"2/7/2020 3:15 AM","-12.2","0"
"2/7/2020 3:30 AM","-11.1","0"
"2/7/2020 3:45 AM","-12.1","0"
"2/7/2020 4:00 AM","-23","0"
"2/7/2020 4:15 AM","-14.7","0"
"2/7/2020 4:30 AM","-14","0"
"2/7/2020 4:45 AM","-13.6","0"
"2/7/2020 5:00 AM","-14.8","0"
"2/7/2020 5:15 AM","-15.6","0"
"2/7/2020 5:30 AM","-14.7","0"
"2/7/2020 5:45 AM","-14.5","0"
"2/7/2020 6:00 AM","-14.3","0"
"2/7/2020 6:15 AM","-14.4","0"
"2/7/2020 6:30 AM","-14.4","0"
"2/7/2020 6:45 AM","-15.9","0"
"2/7/2020 7:00 AM","-12.8","1.45"
"2/7/2020 7:15 AM","-5.93","9.94"
"2/7/2020 7:30 AM","13.4","30.3"
"2/7/2020 7:45 AM","27.4","43.6"
"2/7/2020 8:00 AM","40.9","55.4"
"2/7/2020 8:15 AM","50.7","66.2"
"2/7/2020 8:30 AM","56.6","71.9"
"2/7/2020 8:45 AM","50.4","64.4"
"2/7/2020 9:00 AM","59.5","74.9"
"2/7/2020 9:15 AM","107","122"
"2/7/2020 9:30 AM","165","178"
"2/7/2020 9:45 AM","189","203"
"2/7/2020 10:00 AM","259","272"
"2/7/2020 10:15 AM","345","357"
"2/7/2020 10:30 AM","375","386"
"2/7/2020 10:45 AM","473","487"
"2/7/2020 11:00 AM","753","768"
"2/7/2020 11:15 AM","994","1004"
"2/7/2020 11:30 AM","1318","1336"
"2/7/2020 11:45 AM","1711","1726"
"2/7/2020 12:00 PM","1830","1860"
"2/7/2020 12:15 PM","2156","2180"
"2/7/2020 12:30 PM","2527","2566"
"2/7/2020 12:45 PM","2925","2946"
"2/7/2020 1:00 PM","3403","3440"
"2/7/2020 1:15 PM","3617","3659"
"2/7/2020 1:30 PM","3797","3840"
"2/7/2020 1:45 PM","3738","3785"
"2/7/2020 2:00 PM","3644","3685"
"2/7/2020 2:15 PM","3124","3133"
"2/7/2020 2:30 PM","2857","2889"
"2/7/2020 2:45 PM","2044","2064"
"2/7/2020 3:00 PM","1070","1086"
"2/7/2020 3:15 PM","1367","1385"
"2/7/2020 3:30 PM","881","900"
"2/7/2020 3:45 PM","1236","1256"
"2/7/2020 4:00 PM","924","936"
"2/7/2020 4:15 PM","383","399"
"2/7/2020 4:30 PM","192","208"
"2/7/2020 4:45 PM","74.7","91.4"
"2/7/2020 5:00 PM","16.8","32.1"
"2/7/2020 5:15 PM","-9.64","5.73"
"2/7/2020 5:30 PM","-11.2","0"
"2/7/2020 5:45 PM","-11.2","0"
"2/7/2020 6:00 PM","-10.7","0"
"2/7/2020 6:15 PM","-10.1","0"
"2/7/2020 6:30 PM","-10","0"
"2/7/2020 6:45 PM","-10.5","0"
"2/7/2020 7:00 PM","-11.3","0"
"2/7/2020 7:15 PM","-10.5","0"
"2/7/2020 7:30 PM","-11","0"
"2/7/2020 7:45 PM","-11.5","0"
"2/7/2020 8:00 PM","-12.3","0"
"2/7/2020 8:15 PM","-10.6","0"
"2/7/2020 8:30 PM","-11.3","0"
"2/7/2020 8:45 PM","-11.8","0"
"2/7/2020 9:00 PM","-10.5","0"
"2/7/2020 9:15 PM","-11.7","0"
"2/7/2020 9:30 PM","-11.7","0"
"2/7/2020 9:45 PM","-10.8","0"
"2/7/2020 10:00 PM","-10.1","0"
"2/7/2020 10:15 PM","-10","0"
"2/7/2020 10:30 PM","-9.99","0"
"2/7/2020 10:45 PM","-9.9","0"
"2/7/2020 11:00 PM","-9.94","0"
"2/7/2020 11:15 PM","-9.9","0"
"2/7/2020 11:30 PM","-9.95","0"
"2/7/2020 11:45 PM","-9.94","0"
