"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"4/10/2017 12:00 AM","-15.8","0"
"4/10/2017 12:15 AM","-15.7","0"
"4/10/2017 12:30 AM","-16.1","0"
"4/10/2017 12:45 AM","-15.9","0"
"4/10/2017 1:00 AM","-15.8","0"
"4/10/2017 1:15 AM","-15.8","0"
"4/10/2017 1:30 AM","-15.5","0"
"4/10/2017 1:45 AM","-15.2","0"
"4/10/2017 2:00 AM","-14.9","0"
"4/10/2017 2:15 AM","-15","0"
"4/10/2017 2:30 AM","-14.8","0"
"4/10/2017 2:45 AM","-14.6","0"
"4/10/2017 3:00 AM","-14.8","0"
"4/10/2017 3:15 AM","-14.7","0"
"4/10/2017 3:30 AM","-14.7","0"
"4/10/2017 3:45 AM","-13.9","0"
"4/10/2017 4:00 AM","-14","0"
"4/10/2017 4:15 AM","-13.8","0"
"4/10/2017 4:30 AM","-14.1","0"
"4/10/2017 4:45 AM","-14.3","0"
"4/10/2017 5:00 AM","-13.8","0"
"4/10/2017 5:15 AM","-13.8","0"
"4/10/2017 5:30 AM","-13.5","0"
"4/10/2017 5:45 AM","-13.8","0"
"4/10/2017 6:00 AM","-14","0"
"4/10/2017 6:15 AM","-14.7","0.104"
"4/10/2017 6:30 AM","61.1","78.9"
"4/10/2017 6:45 AM","168","188"
"4/10/2017 7:00 AM","7.02","23.4"
"4/10/2017 7:15 AM","-13.3","2.45"
"4/10/2017 7:30 AM","-0.361","22.5"
"4/10/2017 7:45 AM","83","104"
"4/10/2017 8:00 AM","370","394"
"4/10/2017 8:15 AM","807","866"
"4/10/2017 8:30 AM","766","821"
"4/10/2017 8:45 AM","1897","1961"
"4/10/2017 9:00 AM","2340","2540"
"4/10/2017 9:15 AM","2446","2517"
"4/10/2017 9:30 AM","2303","2466"
"4/10/2017 9:45 AM","2431","2589"
"4/10/2017 10:00 AM","1354","1388"
"4/10/2017 10:15 AM","916","964"
"4/10/2017 10:30 AM","962","1007"
"4/10/2017 10:45 AM","1008","1049"
"4/10/2017 11:00 AM","1042","1080"
"4/10/2017 11:15 AM","646","677"
"4/10/2017 11:30 AM","282","303"
"4/10/2017 11:45 AM","656","690"
"4/10/2017 12:00 PM","1138","1179"
"4/10/2017 12:15 PM","690","722"
"4/10/2017 12:30 PM","164","181"
"4/10/2017 12:45 PM","213","231"
"4/10/2017 1:00 PM","131","147"
"4/10/2017 1:15 PM","373","396"
"4/10/2017 1:30 PM","627","656"
"4/10/2017 1:45 PM","1216","1262"
"4/10/2017 2:00 PM","1501","1551"
"4/10/2017 2:15 PM","1558","1626"
"4/10/2017 2:30 PM","666","706"
"4/10/2017 2:45 PM","252","275"
"4/10/2017 3:00 PM","167","186"
"4/10/2017 3:15 PM","132","154"
"4/10/2017 3:30 PM","413","438"
"4/10/2017 3:45 PM","1631","1736"
"4/10/2017 4:00 PM","3791","3684"
"4/10/2017 4:15 PM","2905","3046"
"4/10/2017 4:30 PM","2037","2203"
"4/10/2017 4:45 PM","1278","1329"
"4/10/2017 5:00 PM","1260","1303"
"4/10/2017 5:15 PM","465","493"
"4/10/2017 5:30 PM","310","335"
"4/10/2017 5:45 PM","109","129"
"4/10/2017 6:00 PM","103","123"
"4/10/2017 6:15 PM","130","153"
"4/10/2017 6:30 PM","77.7","98.4"
"4/10/2017 6:45 PM","23","44.1"
"4/10/2017 7:00 PM","54.7","75.1"
"4/10/2017 7:15 PM","2.64","22.5"
"4/10/2017 7:30 PM","-18.5","0.543"
"4/10/2017 7:45 PM","-17.6","0"
"4/10/2017 8:00 PM","-16.8","0"
"4/10/2017 8:15 PM","-16.8","0"
"4/10/2017 8:30 PM","-17","0"
"4/10/2017 8:45 PM","-17","0"
"4/10/2017 9:00 PM","-16.9","0"
"4/10/2017 9:15 PM","-17","0"
"4/10/2017 9:30 PM","-17","0"
"4/10/2017 9:45 PM","-16.8","0"
"4/10/2017 10:00 PM","-16.8","0"
"4/10/2017 10:15 PM","-16.5","0"
"4/10/2017 10:30 PM","-16.2","0"
"4/10/2017 10:45 PM","-15.9","0"
"4/10/2017 11:00 PM","-15.7","0"
"4/10/2017 11:15 PM","-15.7","0"
"4/10/2017 11:30 PM","-15.7","0"
"4/10/2017 11:45 PM","-15.4","0"
