"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"2/7/2017 12:00 AM","-17.7","0"
"2/7/2017 12:15 AM","-16.8","0"
"2/7/2017 12:30 AM","-17.6","0"
"2/7/2017 12:45 AM","-18","0"
"2/7/2017 1:00 AM","-17.5","0"
"2/7/2017 1:15 AM","-17.6","0"
"2/7/2017 1:30 AM","-16.6","0"
"2/7/2017 1:45 AM","-17","0"
"2/7/2017 2:00 AM","-17.8","0"
"2/7/2017 2:15 AM","-16.2","0"
"2/7/2017 2:30 AM","-16.1","0"
"2/7/2017 2:45 AM","-16.9","0"
"2/7/2017 3:00 AM","-16.2","0"
"2/7/2017 3:15 AM","-15.3","0"
"2/7/2017 3:30 AM","-15.4","0"
"2/7/2017 3:45 AM","-15.7","0"
"2/7/2017 4:00 AM","-15.7","0"
"2/7/2017 4:15 AM","-15.2","0"
"2/7/2017 4:30 AM","-15.1","0"
"2/7/2017 4:45 AM","-15.6","0"
"2/7/2017 5:00 AM","-15.3","0"
"2/7/2017 5:15 AM","-14.1","0"
"2/7/2017 5:30 AM","-16.4","0"
"2/7/2017 5:45 AM","-16.2","0"
"2/7/2017 6:00 AM","-17.4","0"
"2/7/2017 6:15 AM","-18.1","0"
"2/7/2017 6:30 AM","-18.7","0"
"2/7/2017 6:45 AM","-18.2","0"
"2/7/2017 7:00 AM","-5.29","12.3"
"2/7/2017 7:15 AM","44.6","64"
"2/7/2017 7:30 AM","201","228"
"2/7/2017 7:45 AM","439","448"
"2/7/2017 8:00 AM","349","377"
"2/7/2017 8:15 AM","253","278"
"2/7/2017 8:30 AM","432","469"
"2/7/2017 8:45 AM","596","637"
"2/7/2017 9:00 AM","348","374"
"2/7/2017 9:15 AM","570","607"
"2/7/2017 9:30 AM","947","983"
"2/7/2017 9:45 AM","1117","1166"
"2/7/2017 10:00 AM","1387","1448"
"2/7/2017 10:15 AM","1655","1716"
"2/7/2017 10:30 AM","1018","1091"
"2/7/2017 10:45 AM","540","574"
"2/7/2017 11:00 AM","759","803"
"2/7/2017 11:15 AM","645","644"
"2/7/2017 11:30 AM","382","423"
"2/7/2017 11:45 AM","804","842"
"2/7/2017 12:00 PM","2945","2997"
"2/7/2017 12:15 PM","1187","1185"
"2/7/2017 12:30 PM","779","828"
"2/7/2017 12:45 PM","1504","1565"
"2/7/2017 1:00 PM","1490","1749"
"2/7/2017 1:15 PM","979","1001"
"2/7/2017 1:30 PM","884","906"
"2/7/2017 1:45 PM","476","496"
"2/7/2017 2:00 PM","315","342"
"2/7/2017 2:15 PM","417","449"
"2/7/2017 2:30 PM","379","379"
"2/7/2017 2:45 PM","163","188"
"2/7/2017 3:00 PM","82.9","104"
"2/7/2017 3:15 PM","135","156"
"2/7/2017 3:30 PM","334","360"
"2/7/2017 3:45 PM","99.5","123"
"2/7/2017 4:00 PM","95.9","124"
"2/7/2017 4:15 PM","208","234"
"2/7/2017 4:30 PM","173","200"
"2/7/2017 4:45 PM","76","96.6"
"2/7/2017 5:00 PM","-6.65","12.2"
"2/7/2017 5:15 PM","-18.3","0"
"2/7/2017 5:30 PM","-18.2","0"
"2/7/2017 5:45 PM","-17","0"
"2/7/2017 6:00 PM","-15.8","0"
"2/7/2017 6:15 PM","-16.7","0"
"2/7/2017 6:30 PM","-15.1","0"
"2/7/2017 6:45 PM","-17.8","0"
"2/7/2017 7:00 PM","-17.1","0"
"2/7/2017 7:15 PM","-17.3","0"
"2/7/2017 7:30 PM","-18.7","0"
"2/7/2017 7:45 PM","-18.8","0"
"2/7/2017 8:00 PM","-16.1","0"
"2/7/2017 8:15 PM","-17.3","0"
"2/7/2017 8:30 PM","-17.2","0"
"2/7/2017 8:45 PM","-18","0"
"2/7/2017 9:00 PM","-20.1","0"
"2/7/2017 9:15 PM","-20.3","0"
"2/7/2017 9:30 PM","-19.9","0"
"2/7/2017 9:45 PM","-19.3","0"
"2/7/2017 10:00 PM","-18.7","0"
"2/7/2017 10:15 PM","-18.5","0"
"2/7/2017 10:30 PM","-18.1","0"
"2/7/2017 10:45 PM","-16.5","0"
"2/7/2017 11:00 PM","-18","0"
"2/7/2017 11:15 PM","-18.2","0"
"2/7/2017 11:30 PM","-18.3","0"
"2/7/2017 11:45 PM","-17.7","0"
