"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"4/12/2017 12:00 AM","-13.5","0"
"4/12/2017 12:15 AM","-13.4","0"
"4/12/2017 12:30 AM","-13.6","0"
"4/12/2017 12:45 AM","-14","0"
"4/12/2017 1:00 AM","-13.7","0"
"4/12/2017 1:15 AM","-13.7","0"
"4/12/2017 1:30 AM","-13.7","0"
"4/12/2017 1:45 AM","-13.3","0"
"4/12/2017 2:00 AM","-13.6","0"
"4/12/2017 2:15 AM","-13.6","0"
"4/12/2017 2:30 AM","-13.6","0"
"4/12/2017 2:45 AM","-13.3","0"
"4/12/2017 3:00 AM","-13.4","0"
"4/12/2017 3:15 AM","-13.2","0"
"4/12/2017 3:30 AM","-13.2","0"
"4/12/2017 3:45 AM","-13.1","0"
"4/12/2017 4:00 AM","-13","0"
"4/12/2017 4:15 AM","-12.7","0"
"4/12/2017 4:30 AM","-14.2","0"
"4/12/2017 4:45 AM","-15.4","0"
"4/12/2017 5:00 AM","-12.8","0"
"4/12/2017 5:15 AM","-14","0"
"4/12/2017 5:30 AM","-12.9","0"
"4/12/2017 5:45 AM","-15.4","0"
"4/12/2017 6:00 AM","-14.7","0"
"4/12/2017 6:15 AM","4.44","19.9"
"4/12/2017 6:30 AM","57.5","73.8"
"4/12/2017 6:45 AM","155","173"
"4/12/2017 7:00 AM","310","331"
"4/12/2017 7:15 AM","542","572"
"4/12/2017 7:30 AM","801","815"
"4/12/2017 7:45 AM","1134","1172"
"4/12/2017 8:00 AM","1497","1524"
"4/12/2017 8:15 AM","1759","1789"
"4/12/2017 8:30 AM","2166","2252"
"4/12/2017 8:45 AM","2563","2648"
"4/12/2017 9:00 AM","2936","3015"
"4/12/2017 9:15 AM","3136","3245"
"4/12/2017 9:30 AM","3388","3458"
"4/12/2017 9:45 AM","3543","3577"
"4/12/2017 10:00 AM","3725","3877"
"4/12/2017 10:15 AM","3464","3606"
"4/12/2017 10:30 AM","4156","4208"
"4/12/2017 10:45 AM","4191","4321"
"4/12/2017 11:00 AM","4242","4431"
"4/12/2017 11:15 AM","4470","4596"
"4/12/2017 11:30 AM","4574","4713"
"4/12/2017 11:45 AM","4572","4711"
"4/12/2017 12:00 PM","4574","4713"
"4/12/2017 12:15 PM","4572","4708"
"4/12/2017 12:30 PM","4448","4597"
"4/12/2017 12:45 PM","4519","4662"
"4/12/2017 1:00 PM","4528","4672"
"4/12/2017 1:15 PM","4465","4618"
"4/12/2017 1:30 PM","4447","4554"
"4/12/2017 1:45 PM","4562","4697"
"4/12/2017 2:00 PM","4428","4566"
"4/12/2017 2:15 PM","4560","4696"
"4/12/2017 2:30 PM","4150","4284"
"4/12/2017 2:45 PM","4194","4350"
"4/12/2017 3:00 PM","3849","4023"
"4/12/2017 3:15 PM","3583","3712"
"4/12/2017 3:30 PM","3819","3923"
"4/12/2017 3:45 PM","3219","3103"
"4/12/2017 4:00 PM","3165","3364"
"4/12/2017 4:15 PM","3025","3120"
"4/12/2017 4:30 PM","2691","2778"
"4/12/2017 4:45 PM","2354","2434"
"4/12/2017 5:00 PM","2026","2096"
"4/12/2017 5:15 PM","1731","1794"
"4/12/2017 5:30 PM","1133","1203"
"4/12/2017 5:45 PM","1004","1064"
"4/12/2017 6:00 PM","845","882"
"4/12/2017 6:15 PM","465","490"
"4/12/2017 6:30 PM","174","193"
"4/12/2017 6:45 PM","137","156"
"4/12/2017 7:00 PM","41.8","58.9"
"4/12/2017 7:15 PM","1.88","19.8"
"4/12/2017 7:30 PM","-16","0.813"
"4/12/2017 7:45 PM","-17.1","0"
"4/12/2017 8:00 PM","-17","0"
"4/12/2017 8:15 PM","-16.7","0"
"4/12/2017 8:30 PM","-16.4","0"
"4/12/2017 8:45 PM","-17","0"
"4/12/2017 9:00 PM","-17.1","0"
"4/12/2017 9:15 PM","-17.4","0"
"4/12/2017 9:30 PM","-17.3","0"
"4/12/2017 9:45 PM","-17.6","0"
"4/12/2017 10:00 PM","-17.5","0"
"4/12/2017 10:15 PM","-17.4","0"
"4/12/2017 10:30 PM","-17.6","0"
"4/12/2017 10:45 PM","-17.9","0"
"4/12/2017 11:00 PM","-17.7","0"
"4/12/2017 11:15 PM","-17.4","0"
"4/12/2017 11:30 PM","-17.8","0"
"4/12/2017 11:45 PM","-17.1","0"
