"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"10/8/2019 12:00 AM","-11.7","0"
"10/8/2019 12:15 AM","-11.9","0"
"10/8/2019 12:30 AM","-11.9","0"
"10/8/2019 12:45 AM","-11.7","0"
"10/8/2019 1:00 AM","-11.1","0"
"10/8/2019 1:15 AM","-10.4","0"
"10/8/2019 1:30 AM","-10.2","0"
"10/8/2019 1:45 AM","-9.98","0"
"10/8/2019 2:00 AM","-10","0"
"10/8/2019 2:15 AM","-9.99","0"
"10/8/2019 2:30 AM","-10","0"
"10/8/2019 2:45 AM","-10","0"
"10/8/2019 3:00 AM","-10","0"
"10/8/2019 3:15 AM","-10","0"
"10/8/2019 3:30 AM","-10","0"
"10/8/2019 3:45 AM","-9.98","0"
"10/8/2019 4:00 AM","-9.96","0"
"10/8/2019 4:15 AM","-9.95","0"
"10/8/2019 4:30 AM","-9.89","0"
"10/8/2019 4:45 AM","-9.92","0"
"10/8/2019 5:00 AM","-9.84","0"
"10/8/2019 5:15 AM","-9.92","0"
"10/8/2019 5:30 AM","-9.9","0"
"10/8/2019 5:45 AM","-9.9","0"
"10/8/2019 6:00 AM","-9.87","0"
"10/8/2019 6:15 AM","-10","0"
"10/8/2019 6:30 AM","-10.6","0"
"10/8/2019 6:45 AM","0.294","13.7"
"10/8/2019 7:00 AM","57","70.7"
"10/8/2019 7:15 AM","200","213"
"10/8/2019 7:30 AM","446","459"
"10/8/2019 7:45 AM","751","761"
"10/8/2019 8:00 AM","1098","1108"
"10/8/2019 8:15 AM","1436","1451"
"10/8/2019 8:30 AM","1770","1785"
"10/8/2019 8:45 AM","2096","2114"
"10/8/2019 9:00 AM","2388","2409"
"10/8/2019 9:15 AM","2664","2685"
"10/8/2019 9:30 AM","2916","2940"
"10/8/2019 9:45 AM","3144","3170"
"10/8/2019 10:00 AM","3349","3381"
"10/8/2019 10:15 AM","3532","3571"
"10/8/2019 10:30 AM","3689","3732"
"10/8/2019 10:45 AM","3833","3879"
"10/8/2019 11:00 AM","3962","4010"
"10/8/2019 11:15 AM","4070","4121"
"10/8/2019 11:30 AM","4150","4203"
"10/8/2019 11:45 AM","4211","4266"
"10/8/2019 12:00 PM","4234","4289"
"10/8/2019 12:15 PM","4279","4336"
"10/8/2019 12:30 PM","4263","4319"
"10/8/2019 12:45 PM","4246","4302"
"10/8/2019 1:00 PM","4215","4272"
"10/8/2019 1:15 PM","4178","4234"
"10/8/2019 1:30 PM","4098","4153"
"10/8/2019 1:45 PM","4026","4080"
"10/8/2019 2:00 PM","3910","3962"
"10/8/2019 2:15 PM","3775","3825"
"10/8/2019 2:30 PM","3624","3670"
"10/8/2019 2:45 PM","3455","3498"
"10/8/2019 3:00 PM","3286","3326"
"10/8/2019 3:15 PM","3077","3116"
"10/8/2019 3:30 PM","2838","2873"
"10/8/2019 3:45 PM","2559","2592"
"10/8/2019 4:00 PM","2292","2321"
"10/8/2019 4:15 PM","1999","2026"
"10/8/2019 4:30 PM","1702","1726"
"10/8/2019 4:45 PM","1385","1404"
"10/8/2019 5:00 PM","1059","1079"
"10/8/2019 5:15 PM","738","756"
"10/8/2019 5:30 PM","427","445"
"10/8/2019 5:45 PM","194","211"
"10/8/2019 6:00 PM","60.4","78.6"
"10/8/2019 6:15 PM","9.92","26.6"
"10/8/2019 6:30 PM","-13","1.39"
"10/8/2019 6:45 PM","-13.2","0"
"10/8/2019 7:00 PM","-12.9","0"
"10/8/2019 7:15 PM","-13.1","0"
"10/8/2019 7:30 PM","-13.3","0"
"10/8/2019 7:45 PM","-13.5","0"
"10/8/2019 8:00 PM","-13.6","0"
"10/8/2019 8:15 PM","-13.7","0"
"10/8/2019 8:30 PM","-13.6","0"
"10/8/2019 8:45 PM","-13.6","0"
"10/8/2019 9:00 PM","-13.6","0"
"10/8/2019 9:15 PM","-13.7","0"
"10/8/2019 9:30 PM","-13.8","0"
"10/8/2019 9:45 PM","-13.8","0"
"10/8/2019 10:00 PM","-13.8","0"
"10/8/2019 10:15 PM","-13.7","0"
"10/8/2019 10:30 PM","-13.1","0"
"10/8/2019 10:45 PM","-12.8","0"
"10/8/2019 11:00 PM","-12.7","0"
"10/8/2019 11:15 PM","-12.6","0"
"10/8/2019 11:30 PM","-12.4","0"
"10/8/2019 11:45 PM","-12.1","0"
