"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"8/28/2019 12:00 AM","-13.8","0"
"8/28/2019 12:15 AM","-13.8","0"
"8/28/2019 12:30 AM","-13.8","0"
"8/28/2019 12:45 AM","-14","0"
"8/28/2019 1:00 AM","-13.9","0"
"8/28/2019 1:15 AM","-14","0"
"8/28/2019 1:30 AM","-13.9","0"
"8/28/2019 1:45 AM","-13.9","0"
"8/28/2019 2:00 AM","-13.9","0"
"8/28/2019 2:15 AM","-13.9","0"
"8/28/2019 2:30 AM","-14","0"
"8/28/2019 2:45 AM","-13.8","0"
"8/28/2019 3:00 AM","-13.6","0"
"8/28/2019 3:15 AM","-13.7","0"
"8/28/2019 3:30 AM","-13.7","0"
"8/28/2019 3:45 AM","-13.6","0"
"8/28/2019 4:00 AM","-13.7","0"
"8/28/2019 4:15 AM","-13.5","0"
"8/28/2019 4:30 AM","-13.3","0"
"8/28/2019 4:45 AM","-13","0"
"8/28/2019 5:00 AM","-12.9","0"
"8/28/2019 5:15 AM","-12.8","0"
"8/28/2019 5:30 AM","-12.8","0"
"8/28/2019 5:45 AM","-13.1","0"
"8/28/2019 6:00 AM","-12.1","1.11"
"8/28/2019 6:15 AM","18.9","33.7"
"8/28/2019 6:30 AM","72","87.1"
"8/28/2019 6:45 AM","158","172"
"8/28/2019 7:00 AM","307","322"
"8/28/2019 7:15 AM","535","549"
"8/28/2019 7:30 AM","798","811"
"8/28/2019 7:45 AM","1127","1140"
"8/28/2019 8:00 AM","1466","1481"
"8/28/2019 8:15 AM","1800","1815"
"8/28/2019 8:30 AM","2119","2138"
"8/28/2019 8:45 AM","2429","2451"
"8/28/2019 9:00 AM","2709","2737"
"8/28/2019 9:15 AM","2970","3000"
"8/28/2019 9:30 AM","3210","3246"
"8/28/2019 9:45 AM","3419","3458"
"8/28/2019 10:00 AM","3625","3668"
"8/28/2019 10:15 AM","3813","3859"
"8/28/2019 10:30 AM","3998","4048"
"8/28/2019 10:45 AM","4174","4227"
"8/28/2019 11:00 AM","4330","4385"
"8/28/2019 11:15 AM","4473","4532"
"8/28/2019 11:30 AM","4571","4632"
"8/28/2019 11:45 AM","4634","4697"
"8/28/2019 12:00 PM","4650","4712"
"8/28/2019 12:15 PM","4650","4713"
"8/28/2019 12:30 PM","4633","4661"
"8/28/2019 12:45 PM","4657","4721"
"8/28/2019 1:00 PM","4526","4684"
"8/28/2019 1:15 PM","4655","4718"
"8/28/2019 1:30 PM","4228","4397"
"8/28/2019 1:45 PM","3845","3871"
"8/28/2019 2:00 PM","4204","3977"
"8/28/2019 2:15 PM","4364","4417"
"8/28/2019 2:30 PM","4378","4435"
"8/28/2019 2:45 PM","4082","4049"
"8/28/2019 3:00 PM","4033","4088"
"8/28/2019 3:15 PM","3832","3882"
"8/28/2019 3:30 PM","3648","3696"
"8/28/2019 3:45 PM","3435","3479"
"8/28/2019 4:00 PM","3179","3219"
"8/28/2019 4:15 PM","2917","2952"
"8/28/2019 4:30 PM","2632","2666"
"8/28/2019 4:45 PM","2343","2375"
"8/28/2019 5:00 PM","2028","2057"
"8/28/2019 5:15 PM","1716","1742"
"8/28/2019 5:30 PM","1400","1421"
"8/28/2019 5:45 PM","1069","1090"
"8/28/2019 6:00 PM","756","774"
"8/28/2019 6:15 PM","479","496"
"8/28/2019 6:30 PM","260","279"
"8/28/2019 6:45 PM","123","141"
"8/28/2019 7:00 PM","35.1","53.4"
"8/28/2019 7:15 PM","19.2","36.3"
"8/28/2019 7:30 PM","-10.9","5.5"
"8/28/2019 7:45 PM","-13.7","0"
"8/28/2019 8:00 PM","-13.6","0"
"8/28/2019 8:15 PM","-13.5","0"
"8/28/2019 8:30 PM","-13.6","0"
"8/28/2019 8:45 PM","-13.7","0"
"8/28/2019 9:00 PM","-13.7","0"
"8/28/2019 9:15 PM","-13.7","0"
"8/28/2019 9:30 PM","-13.7","0"
"8/28/2019 9:45 PM","-13.7","0"
"8/28/2019 10:00 PM","-13.7","0"
"8/28/2019 10:15 PM","-13.8","0"
"8/28/2019 10:30 PM","-13.8","0"
"8/28/2019 10:45 PM","-13.9","0"
"8/28/2019 11:00 PM","-14","0"
"8/28/2019 11:15 PM","-14","0"
"8/28/2019 11:30 PM","-14","0"
"8/28/2019 11:45 PM","-14","0"
