"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"7/15/2017 12:00 AM","-14.1","0"
"7/15/2017 12:15 AM","-14.1","0"
"7/15/2017 12:30 AM","-14.1","0"
"7/15/2017 12:45 AM","-14.2","0"
"7/15/2017 1:00 AM","-14.2","0"
"7/15/2017 1:15 AM","-14.2","0"
"7/15/2017 1:30 AM","-14.2","0"
"7/15/2017 1:45 AM","-14.2","0"
"7/15/2017 2:00 AM","-14.2","0"
"7/15/2017 2:15 AM","-14.2","0"
"7/15/2017 2:30 AM","-14.2","0"
"7/15/2017 2:45 AM","-14.1","0"
"7/15/2017 3:00 AM","-14.2","0"
"7/15/2017 3:15 AM","-14.2","0"
"7/15/2017 3:30 AM","-14.2","0"
"7/15/2017 3:45 AM","-14.2","0"
"7/15/2017 4:00 AM","-14.2","0"
"7/15/2017 4:15 AM","-14.2","0"
"7/15/2017 4:30 AM","-14.3","0"
"7/15/2017 4:45 AM","-14.2","0"
"7/15/2017 5:00 AM","-14.5","0"
"7/15/2017 5:15 AM","-14.6","0"
"7/15/2017 5:30 AM","-7.86","8.26"
"7/15/2017 5:45 AM","29.4","45.1"
"7/15/2017 6:00 AM","76.1","91.7"
"7/15/2017 6:15 AM","134","148"
"7/15/2017 6:30 AM","284","298"
"7/15/2017 6:45 AM","432","444"
"7/15/2017 7:00 AM","592","614"
"7/15/2017 7:15 AM","703","714"
"7/15/2017 7:30 AM","821","832"
"7/15/2017 7:45 AM","985","993"
"7/15/2017 8:00 AM","1182","1194"
"7/15/2017 8:15 AM","1081","1098"
"7/15/2017 8:30 AM","1109","1126"
"7/15/2017 8:45 AM","1144","1165"
"7/15/2017 9:00 AM","1461","1476"
"7/15/2017 9:15 AM","1375","1394"
"7/15/2017 9:30 AM","1473","1488"
"7/15/2017 9:45 AM","1841","1858"
"7/15/2017 10:00 AM","1805","1825"
"7/15/2017 10:15 AM","2661","2698"
"7/15/2017 10:30 AM","2404","2424"
"7/15/2017 10:45 AM","2349","2379"
"7/15/2017 11:00 AM","4068","4132"
"7/15/2017 11:15 AM","4445","4523"
"7/15/2017 11:30 AM","3218","3272"
"7/15/2017 11:45 AM","2794","2814"
"7/15/2017 12:00 PM","2622","2680"
"7/15/2017 12:15 PM","2889","2922"
"7/15/2017 12:30 PM","3085","3076"
"7/15/2017 12:45 PM","2909","2976"
"7/15/2017 1:00 PM","2757","2790"
"7/15/2017 1:15 PM","3246","3271"
"7/15/2017 1:30 PM","4494","4529"
"7/15/2017 1:45 PM","3763","3797"
"7/15/2017 2:00 PM","4445","4508"
"7/15/2017 2:15 PM","4422","4500"
"7/15/2017 2:30 PM","4313","4367"
"7/15/2017 2:45 PM","4301","4355"
"7/15/2017 3:00 PM","4272","4332"
"7/15/2017 3:15 PM","3985","4046"
"7/15/2017 3:30 PM","3825","3877"
"7/15/2017 3:45 PM","3635","3694"
"7/15/2017 4:00 PM","3416","3491"
"7/15/2017 4:15 PM","3237","3282"
"7/15/2017 4:30 PM","2980","3017"
"7/15/2017 4:45 PM","2710","2744"
"7/15/2017 5:00 PM","2465","2496"
"7/15/2017 5:15 PM","2178","2209"
"7/15/2017 5:30 PM","1883","1910"
"7/15/2017 5:45 PM","1586","1611"
"7/15/2017 6:00 PM","1272","1297"
"7/15/2017 6:15 PM","968","993"
"7/15/2017 6:30 PM","684","706"
"7/15/2017 6:45 PM","434","456"
"7/15/2017 7:00 PM","250","272"
"7/15/2017 7:15 PM","147","167"
"7/15/2017 7:30 PM","91.8","113"
"7/15/2017 7:45 PM","38.5","59.2"
"7/15/2017 8:00 PM","22","40.6"
"7/15/2017 8:15 PM","-6.56","11.1"
"7/15/2017 8:30 PM","-14.3","0"
"7/15/2017 8:45 PM","-14.2","0"
"7/15/2017 9:00 PM","-13.8","0"
"7/15/2017 9:15 PM","-13.7","0"
"7/15/2017 9:30 PM","-13.8","0"
"7/15/2017 9:45 PM","-13.9","0"
"7/15/2017 10:00 PM","-14.1","0"
"7/15/2017 10:15 PM","-14","0"
"7/15/2017 10:30 PM","-14","0"
"7/15/2017 10:45 PM","-14.1","0"
"7/15/2017 11:00 PM","-14.1","0"
"7/15/2017 11:15 PM","-14.1","0"
"7/15/2017 11:30 PM","-14","0"
"7/15/2017 11:45 PM","-14.1","0"
