"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"7/23/2019 12:00 AM","-12.8","0"
"7/23/2019 12:15 AM","-12.8","0"
"7/23/2019 12:30 AM","-12.9","0"
"7/23/2019 12:45 AM","-13","0"
"7/23/2019 1:00 AM","-13","0"
"7/23/2019 1:15 AM","-13","0"
"7/23/2019 1:30 AM","-13","0"
"7/23/2019 1:45 AM","-13","0"
"7/23/2019 2:00 AM","-13","0"
"7/23/2019 2:15 AM","-13","0"
"7/23/2019 2:30 AM","-12.9","0"
"7/23/2019 2:45 AM","-12.7","0"
"7/23/2019 3:00 AM","-12.6","0"
"7/23/2019 3:15 AM","-12.6","0"
"7/23/2019 3:30 AM","-12.7","0"
"7/23/2019 3:45 AM","-12.6","0"
"7/23/2019 4:00 AM","-12.3","0"
"7/23/2019 4:15 AM","-12.1","0"
"7/23/2019 4:30 AM","-12.1","0"
"7/23/2019 4:45 AM","-11.8","0"
"7/23/2019 5:00 AM","-11.8","0"
"7/23/2019 5:15 AM","-12.3","0"
"7/23/2019 5:30 AM","-12.4","0"
"7/23/2019 5:45 AM","15.2","28.9"
"7/23/2019 6:00 AM","70","84"
"7/23/2019 6:15 AM","126","140"
"7/23/2019 6:30 AM","203","216"
"7/23/2019 6:45 AM","330","343"
"7/23/2019 7:00 AM","531","544"
"7/23/2019 7:15 AM","772","786"
"7/23/2019 7:30 AM","690","730"
"7/23/2019 7:45 AM","1381","1397"
"7/23/2019 8:00 AM","1692","1677"
"7/23/2019 8:15 AM","1977","1995"
"7/23/2019 8:30 AM","2258","2279"
"7/23/2019 8:45 AM","2517","2543"
"7/23/2019 9:00 AM","2800","2831"
"7/23/2019 9:15 AM","3028","3062"
"7/23/2019 9:30 AM","3249","3286"
"7/23/2019 9:45 AM","3496","3537"
"7/23/2019 10:00 AM","3701","3745"
"7/23/2019 10:15 AM","3875","3922"
"7/23/2019 10:30 AM","4049","4100"
"7/23/2019 10:45 AM","4212","4267"
"7/23/2019 11:00 AM","4351","4409"
"7/23/2019 11:15 AM","4458","4518"
"7/23/2019 11:30 AM","4596","4658"
"7/23/2019 11:45 AM","3340","3302"
"7/23/2019 12:00 PM","4071","4204"
"7/23/2019 12:15 PM","4045","4083"
"7/23/2019 12:30 PM","4037","3924"
"7/23/2019 12:45 PM","3782","3939"
"7/23/2019 1:00 PM","4026","4117"
"7/23/2019 1:15 PM","3449","3491"
"7/23/2019 1:30 PM","2823","2821"
"7/23/2019 1:45 PM","3375","3442"
"7/23/2019 2:00 PM","4054","4054"
"7/23/2019 2:15 PM","3845","3858"
"7/23/2019 2:30 PM","3240","3279"
"7/23/2019 2:45 PM","3590","3512"
"7/23/2019 3:00 PM","3998","4063"
"7/23/2019 3:15 PM","3828","3876"
"7/23/2019 3:30 PM","3336","3383"
"7/23/2019 3:45 PM","3629","3679"
"7/23/2019 4:00 PM","3289","3399"
"7/23/2019 4:15 PM","2776","2772"
"7/23/2019 4:30 PM","2837","2862"
"7/23/2019 4:45 PM","2490","2452"
"7/23/2019 5:00 PM","2247","2279"
"7/23/2019 5:15 PM","1947","1974"
"7/23/2019 5:30 PM","1697","1721"
"7/23/2019 5:45 PM","1487","1511"
"7/23/2019 6:00 PM","1059","1091"
"7/23/2019 6:15 PM","853","877"
"7/23/2019 6:30 PM","620","642"
"7/23/2019 6:45 PM","436","455"
"7/23/2019 7:00 PM","288","308"
"7/23/2019 7:15 PM","189","209"
"7/23/2019 7:30 PM","133","153"
"7/23/2019 7:45 PM","52.6","71.1"
"7/23/2019 8:00 PM","15","33"
"7/23/2019 8:15 PM","-11.2","5.21"
"7/23/2019 8:30 PM","-13.3","0"
"7/23/2019 8:45 PM","-13.6","0"
"7/23/2019 9:00 PM","-13.6","0"
"7/23/2019 9:15 PM","-13.6","0"
"7/23/2019 9:30 PM","-13.7","0"
"7/23/2019 9:45 PM","-13.7","0"
"7/23/2019 10:00 PM","-13.7","0"
"7/23/2019 10:15 PM","-13.8","0"
"7/23/2019 10:30 PM","-13.8","0"
"7/23/2019 10:45 PM","-13.7","0"
"7/23/2019 11:00 PM","-13.9","0"
"7/23/2019 11:15 PM","-13.9","0"
"7/23/2019 11:30 PM","-13.8","0"
"7/23/2019 11:45 PM","-13.8","0"
