"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"3/29/2018 12:00 AM","-9.63","0"
"3/29/2018 12:15 AM","-9.69","0"
"3/29/2018 12:30 AM","-9.67","0"
"3/29/2018 12:45 AM","-9.67","0"
"3/29/2018 1:00 AM","-9.67","0"
"3/29/2018 1:15 AM","-9.72","0"
"3/29/2018 1:30 AM","-9.73","0"
"3/29/2018 1:45 AM","-9.75","0"
"3/29/2018 2:00 AM","-9.73","0"
"3/29/2018 2:15 AM","-9.68","0"
"3/29/2018 2:30 AM","-9.67","0"
"3/29/2018 2:45 AM","-9.68","0"
"3/29/2018 3:00 AM","-9.69","0"
"3/29/2018 3:15 AM","-9.68","0"
"3/29/2018 3:30 AM","-9.79","0"
"3/29/2018 3:45 AM","-9.74","0"
"3/29/2018 4:00 AM","-9.67","0"
"3/29/2018 4:15 AM","-9.72","0"
"3/29/2018 4:30 AM","-9.76","0"
"3/29/2018 4:45 AM","-9.78","0"
"3/29/2018 5:00 AM","-9.63","0"
"3/29/2018 5:15 AM","-9.65","0"
"3/29/2018 5:30 AM","-9.68","0"
"3/29/2018 5:45 AM","-9.74","0"
"3/29/2018 6:00 AM","-9.75","0"
"3/29/2018 6:15 AM","-10","0"
"3/29/2018 6:30 AM","-10.3","0"
"3/29/2018 6:45 AM","-10.4","0"
"3/29/2018 7:00 AM","-1.77","11.5"
"3/29/2018 7:15 AM","6.91","20.6"
"3/29/2018 7:30 AM","14.3","28.2"
"3/29/2018 7:45 AM","28.4","42.3"
"3/29/2018 8:00 AM","55.5","68.7"
"3/29/2018 8:15 AM","79.9","93.9"
"3/29/2018 8:30 AM","66.4","80.4"
"3/29/2018 8:45 AM","123","140"
"3/29/2018 9:00 AM","165","179"
"3/29/2018 9:15 AM","139","152"
"3/29/2018 9:30 AM","218","232"
"3/29/2018 9:45 AM","335","351"
"3/29/2018 10:00 AM","355","374"
"3/29/2018 10:15 AM","436","450"
"3/29/2018 10:30 AM","426","434"
"3/29/2018 10:45 AM","418","433"
"3/29/2018 11:00 AM","339","350"
"3/29/2018 11:15 AM","384","394"
"3/29/2018 11:30 AM","462","472"
"3/29/2018 11:45 AM","350","364"
"3/29/2018 12:00 PM","371","388"
"3/29/2018 12:15 PM","335","348"
"3/29/2018 12:30 PM","433","449"
"3/29/2018 12:45 PM","619","628"
"3/29/2018 1:00 PM","779","786"
"3/29/2018 1:15 PM","674","684"
"3/29/2018 1:30 PM","472","487"
"3/29/2018 1:45 PM","486","497"
"3/29/2018 2:00 PM","415","427"
"3/29/2018 2:15 PM","408","417"
"3/29/2018 2:30 PM","411","422"
"3/29/2018 2:45 PM","443","454"
"3/29/2018 3:00 PM","601","613"
"3/29/2018 3:15 PM","886","898"
"3/29/2018 3:30 PM","1057","1068"
"3/29/2018 3:45 PM","1110","1122"
"3/29/2018 4:00 PM","1048","1063"
"3/29/2018 4:15 PM","855","867"
"3/29/2018 4:30 PM","958","970"
"3/29/2018 4:45 PM","961","972"
"3/29/2018 5:00 PM","653","665"
"3/29/2018 5:15 PM","484","497"
"3/29/2018 5:30 PM","378","390"
"3/29/2018 5:45 PM","209","222"
"3/29/2018 6:00 PM","118","131"
"3/29/2018 6:15 PM","42.3","57.5"
"3/29/2018 6:30 PM","33.2","46.2"
"3/29/2018 6:45 PM","6.7","20.1"
"3/29/2018 7:00 PM","-10.5","1.55"
"3/29/2018 7:15 PM","-10.4","0"
"3/29/2018 7:30 PM","-10.4","0"
"3/29/2018 7:45 PM","-10","0"
"3/29/2018 8:00 PM","-9.94","0"
"3/29/2018 8:15 PM","-9.92","0"
"3/29/2018 8:30 PM","-9.97","0"
"3/29/2018 8:45 PM","-9.97","0"
"3/29/2018 9:00 PM","-10","0"
"3/29/2018 9:15 PM","-9.83","0"
"3/29/2018 9:30 PM","-9.97","0"
"3/29/2018 9:45 PM","-9.94","0"
"3/29/2018 10:00 PM","-10.7","0"
"3/29/2018 10:15 PM","-10.4","0"
"3/29/2018 10:30 PM","-9.97","0"
"3/29/2018 10:45 PM","-12.4","0"
"3/29/2018 11:00 PM","-12.4","0"
"3/29/2018 11:15 PM","-9.91","0"
"3/29/2018 11:30 PM","-11.3","0"
"3/29/2018 11:45 PM","-9.97","0"
