"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"6/8/2019 12:00 AM","-12.7","0"
"6/8/2019 12:15 AM","-12.9","0"
"6/8/2019 12:30 AM","-12.8","0"
"6/8/2019 12:45 AM","-12.9","0"
"6/8/2019 1:00 AM","-12.9","0"
"6/8/2019 1:15 AM","-12.9","0"
"6/8/2019 1:30 AM","-12.9","0"
"6/8/2019 1:45 AM","-13","0"
"6/8/2019 2:00 AM","-12.9","0"
"6/8/2019 2:15 AM","-13","0"
"6/8/2019 2:30 AM","-12.8","0"
"6/8/2019 2:45 AM","-12.7","0"
"6/8/2019 3:00 AM","-12.6","0"
"6/8/2019 3:15 AM","-12.7","0"
"6/8/2019 3:30 AM","-12.7","0"
"6/8/2019 3:45 AM","-12.3","0"
"6/8/2019 4:00 AM","-12.3","0"
"6/8/2019 4:15 AM","-12.4","0"
"6/8/2019 4:30 AM","-12.4","0"
"6/8/2019 4:45 AM","-12.7","0"
"6/8/2019 5:00 AM","-12.9","0"
"6/8/2019 5:15 AM","-13","0"
"6/8/2019 5:30 AM","3.54","18"
"6/8/2019 5:45 AM","47.8","62.8"
"6/8/2019 6:00 AM","137","152"
"6/8/2019 6:15 AM","219","233"
"6/8/2019 6:30 AM","385","399"
"6/8/2019 6:45 AM","487","501"
"6/8/2019 7:00 AM","653","668"
"6/8/2019 7:15 AM","795","810"
"6/8/2019 7:30 AM","897","910"
"6/8/2019 7:45 AM","1035","1050"
"6/8/2019 8:00 AM","1420","1438"
"6/8/2019 8:15 AM","1408","1423"
"6/8/2019 8:30 AM","1532","1562"
"6/8/2019 8:45 AM","1585","1594"
"6/8/2019 9:00 AM","1430","1447"
"6/8/2019 9:15 AM","3466","3499"
"6/8/2019 9:30 AM","3861","3909"
"6/8/2019 9:45 AM","3894","3969"
"6/8/2019 10:00 AM","3118","3172"
"6/8/2019 10:15 AM","3051","3116"
"6/8/2019 10:30 AM","4512","4561"
"6/8/2019 10:45 AM","4468","4510"
"6/8/2019 11:00 AM","3433","3474"
"6/8/2019 11:15 AM","3380","3424"
"6/8/2019 11:30 AM","4546","4574"
"6/8/2019 11:45 AM","3875","3965"
"6/8/2019 12:00 PM","2119","2150"
"6/8/2019 12:15 PM","1766","1797"
"6/8/2019 12:30 PM","1803","1832"
"6/8/2019 12:45 PM","2552","2588"
"6/8/2019 1:00 PM","2970","3020"
"6/8/2019 1:15 PM","3817","3844"
"6/8/2019 1:30 PM","3665","3737"
"6/8/2019 1:45 PM","4524","4596"
"6/8/2019 2:00 PM","4000","4024"
"6/8/2019 2:15 PM","2492","2526"
"6/8/2019 2:30 PM","2035","2065"
"6/8/2019 2:45 PM","1104","1130"
"6/8/2019 3:00 PM","891","915"
"6/8/2019 3:15 PM","714","735"
"6/8/2019 3:30 PM","1353","1378"
"6/8/2019 3:45 PM","2303","2325"
"6/8/2019 4:00 PM","2195","2229"
"6/8/2019 4:15 PM","899","922"
"6/8/2019 4:30 PM","347","366"
"6/8/2019 4:45 PM","175","194"
"6/8/2019 5:00 PM","168","188"
"6/8/2019 5:15 PM","153","173"
"6/8/2019 5:30 PM","159","180"
"6/8/2019 5:45 PM","228","246"
"6/8/2019 6:00 PM","181","200"
"6/8/2019 6:15 PM","381","401"
"6/8/2019 6:30 PM","348","366"
"6/8/2019 6:45 PM","343","362"
"6/8/2019 7:00 PM","345","364"
"6/8/2019 7:15 PM","232","250"
"6/8/2019 7:30 PM","96","115"
"6/8/2019 7:45 PM","11.5","29.2"
"6/8/2019 8:00 PM","-4.25","11.8"
"6/8/2019 8:15 PM","-13.4","0"
"6/8/2019 8:30 PM","-13.2","0"
"6/8/2019 8:45 PM","-13","0"
"6/8/2019 9:00 PM","-12.7","0"
"6/8/2019 9:15 PM","-12.7","0"
"6/8/2019 9:30 PM","-12.7","0"
"6/8/2019 9:45 PM","-12.7","0"
"6/8/2019 10:00 PM","-12.7","0"
"6/8/2019 10:15 PM","-12.7","0"
"6/8/2019 10:30 PM","-12.7","0"
"6/8/2019 10:45 PM","-12.6","0"
"6/8/2019 11:00 PM","-12.7","0"
"6/8/2019 11:15 PM","-12.7","0"
"6/8/2019 11:30 PM","-12.7","0"
"6/8/2019 11:45 PM","-12.7","0"
