"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"3/4/2020 12:00 AM","-9.86","0"
"3/4/2020 12:15 AM","-9.86","0"
"3/4/2020 12:30 AM","-9.87","0"
"3/4/2020 12:45 AM","-9.89","0"
"3/4/2020 1:00 AM","-9.87","0"
"3/4/2020 1:15 AM","-9.91","0"
"3/4/2020 1:30 AM","-9.86","0"
"3/4/2020 1:45 AM","-9.83","0"
"3/4/2020 2:00 AM","-13.3","0"
"3/4/2020 2:15 AM","-10.4","0"
"3/4/2020 2:30 AM","-11.2","0"
"3/4/2020 2:45 AM","-10.5","0"
"3/4/2020 3:00 AM","-10.1","0"
"3/4/2020 3:15 AM","-11.7","0"
"3/4/2020 3:30 AM","-10","0"
"3/4/2020 3:45 AM","-12","0"
"3/4/2020 4:00 AM","-14.8","0"
"3/4/2020 4:15 AM","-12.7","0"
"3/4/2020 4:30 AM","-12.4","0"
"3/4/2020 4:45 AM","-12.1","0"
"3/4/2020 5:00 AM","-10.4","0"
"3/4/2020 5:15 AM","-12.9","0"
"3/4/2020 5:30 AM","-12.9","0"
"3/4/2020 5:45 AM","-11.4","0"
"3/4/2020 6:00 AM","-13.9","0"
"3/4/2020 6:15 AM","-10.7","0.284"
"3/4/2020 6:30 AM","3.96","19.2"
"3/4/2020 6:45 AM","96.4","110"
"3/4/2020 7:00 AM","461","476"
"3/4/2020 7:15 AM","919","953"
"3/4/2020 7:30 AM","1234","1267"
"3/4/2020 7:45 AM","1537","1528"
"3/4/2020 8:00 AM","2054","2075"
"3/4/2020 8:15 AM","2403","2427"
"3/4/2020 8:30 AM","2757","2785"
"3/4/2020 8:45 AM","3072","3105"
"3/4/2020 9:00 AM","3361","3397"
"3/4/2020 9:15 AM","3612","3652"
"3/4/2020 9:30 AM","3868","3887"
"3/4/2020 9:45 AM","3854","4017"
"3/4/2020 10:00 AM","3656","3683"
"3/4/2020 10:15 AM","3450","3407"
"3/4/2020 10:30 AM","4418","4481"
"3/4/2020 10:45 AM","4598","4662"
"3/4/2020 11:00 AM","4632","4698"
"3/4/2020 11:15 AM","4640","4708"
"3/4/2020 11:30 AM","4639","4704"
"3/4/2020 11:45 AM","4635","4702"
"3/4/2020 12:00 PM","4634","4700"
"3/4/2020 12:15 PM","4630","4690"
"3/4/2020 12:30 PM","4475","4560"
"3/4/2020 12:45 PM","4465","4512"
"3/4/2020 1:00 PM","4539","4523"
"3/4/2020 1:15 PM","4415","4381"
"3/4/2020 1:30 PM","4171","4229"
"3/4/2020 1:45 PM","4012","4046"
"3/4/2020 2:00 PM","3720","3675"
"3/4/2020 2:15 PM","3315","3351"
"3/4/2020 2:30 PM","3296","3413"
"3/4/2020 2:45 PM","2846","2779"
"3/4/2020 3:00 PM","2346","2411"
"3/4/2020 3:15 PM","2217","2232"
"3/4/2020 3:30 PM","1732","1763"
"3/4/2020 3:45 PM","1497","1529"
"3/4/2020 4:00 PM","1598","1625"
"3/4/2020 4:15 PM","1276","1301"
"3/4/2020 4:30 PM","954","970"
"3/4/2020 4:45 PM","740","758"
"3/4/2020 5:00 PM","293","312"
"3/4/2020 5:15 PM","71","89.2"
"3/4/2020 5:30 PM","22.3","35.4"
"3/4/2020 5:45 PM","-9.94","6.41"
"3/4/2020 6:00 PM","-13.2","0"
"3/4/2020 6:15 PM","-12.9","0"
"3/4/2020 6:30 PM","-12.6","0"
"3/4/2020 6:45 PM","-12.6","0"
"3/4/2020 7:00 PM","-12.6","0"
"3/4/2020 7:15 PM","-12.5","0"
"3/4/2020 7:30 PM","-12.4","0"
"3/4/2020 7:45 PM","-12.4","0"
"3/4/2020 8:00 PM","-12.2","0"
"3/4/2020 8:15 PM","-11.9","0"
"3/4/2020 8:30 PM","-11.3","0"
"3/4/2020 8:45 PM","-10.4","0"
"3/4/2020 9:00 PM","-9.92","0"
"3/4/2020 9:15 PM","-9.93","0"
"3/4/2020 9:30 PM","-9.91","0"
"3/4/2020 9:45 PM","-9.94","0"
"3/4/2020 10:00 PM","-9.98","0"
"3/4/2020 10:15 PM","-9.92","0"
"3/4/2020 10:30 PM","-9.87","0"
"3/4/2020 10:45 PM","-9.91","0"
"3/4/2020 11:00 PM","-9.94","0"
"3/4/2020 11:15 PM","-9.85","0"
"3/4/2020 11:30 PM","-9.75","0"
"3/4/2020 11:45 PM","-9.84","0"
