"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"10/22/2017 12:00 AM","-14.3","0"
"10/22/2017 12:15 AM","-14.4","0"
"10/22/2017 12:30 AM","-14.2","0"
"10/22/2017 12:45 AM","-14.1","0"
"10/22/2017 1:00 AM","-14.1","0"
"10/22/2017 1:15 AM","-14.1","0"
"10/22/2017 1:30 AM","-14.2","0"
"10/22/2017 1:45 AM","-14.3","0"
"10/22/2017 2:00 AM","-14.1","0"
"10/22/2017 2:15 AM","-14.2","0"
"10/22/2017 2:30 AM","-14.2","0"
"10/22/2017 2:45 AM","-13.9","0"
"10/22/2017 3:00 AM","-13.8","0"
"10/22/2017 3:15 AM","-13.7","0"
"10/22/2017 3:30 AM","-13.8","0"
"10/22/2017 3:45 AM","-13.7","0"
"10/22/2017 4:00 AM","-13.6","0"
"10/22/2017 4:15 AM","-13.1","0"
"10/22/2017 4:30 AM","-12.9","0"
"10/22/2017 4:45 AM","-12.6","0"
"10/22/2017 5:00 AM","-12.6","0"
"10/22/2017 5:15 AM","-12.7","0"
"10/22/2017 5:30 AM","-12.7","0"
"10/22/2017 5:45 AM","-12.6","0"
"10/22/2017 6:00 AM","-12.7","0"
"10/22/2017 6:15 AM","-12.6","0"
"10/22/2017 6:30 AM","-12.6","0"
"10/22/2017 6:45 AM","-13.1","0"
"10/22/2017 7:00 AM","-13.2","0"
"10/22/2017 7:15 AM","5.81","20.3"
"10/22/2017 7:30 AM","89.2","104"
"10/22/2017 7:45 AM","196","210"
"10/22/2017 8:00 AM","413","428"
"10/22/2017 8:15 AM","387","401"
"10/22/2017 8:30 AM","285","299"
"10/22/2017 8:45 AM","264","278"
"10/22/2017 9:00 AM","359","373"
"10/22/2017 9:15 AM","489","505"
"10/22/2017 9:30 AM","810","830"
"10/22/2017 9:45 AM","944","960"
"10/22/2017 10:00 AM","800","808"
"10/22/2017 10:15 AM","507","522"
"10/22/2017 10:30 AM","816","825"
"10/22/2017 10:45 AM","1773","1727"
"10/22/2017 11:00 AM","1247","1262"
"10/22/2017 11:15 AM","1997","1951"
"10/22/2017 11:30 AM","2190","2252"
"10/22/2017 11:45 AM","1029","1034"
"10/22/2017 12:00 PM","830","844"
"10/22/2017 12:15 PM","702","705"
"10/22/2017 12:30 PM","548","559"
"10/22/2017 12:45 PM","616","622"
"10/22/2017 1:00 PM","447","456"
"10/22/2017 1:15 PM","316","335"
"10/22/2017 1:30 PM","347","361"
"10/22/2017 1:45 PM","259","276"
"10/22/2017 2:00 PM","291","307"
"10/22/2017 2:15 PM","218","232"
"10/22/2017 2:30 PM","249","267"
"10/22/2017 2:45 PM","230","242"
"10/22/2017 3:00 PM","274","291"
"10/22/2017 3:15 PM","265","277"
"10/22/2017 3:30 PM","183","199"
"10/22/2017 3:45 PM","90.3","108"
"10/22/2017 4:00 PM","68.4","81.8"
"10/22/2017 4:15 PM","63.7","77"
"10/22/2017 4:30 PM","209","224"
"10/22/2017 4:45 PM","284","295"
"10/22/2017 5:00 PM","76.2","89.4"
"10/22/2017 5:15 PM","19.5","33"
"10/22/2017 5:30 PM","-3.67","9.8"
"10/22/2017 5:45 PM","-11.4","0"
"10/22/2017 6:00 PM","-11.5","0"
"10/22/2017 6:15 PM","-11.4","0"
"10/22/2017 6:30 PM","-10.3","0"
"10/22/2017 6:45 PM","-9.99","0"
"10/22/2017 7:00 PM","-9.92","0"
"10/22/2017 7:15 PM","-9.94","0"
"10/22/2017 7:30 PM","-9.96","0"
"10/22/2017 7:45 PM","-9.99","0"
"10/22/2017 8:00 PM","-9.96","0"
"10/22/2017 8:15 PM","-9.89","0"
"10/22/2017 8:30 PM","-9.94","0"
"10/22/2017 8:45 PM","-9.97","0"
"10/22/2017 9:00 PM","-9.99","0"
"10/22/2017 9:15 PM","-9.91","0"
"10/22/2017 9:30 PM","-9.96","0"
"10/22/2017 9:45 PM","-9.99","0"
"10/22/2017 10:00 PM","-10","0"
"10/22/2017 10:15 PM","-9.92","0"
"10/22/2017 10:30 PM","-9.97","0"
"10/22/2017 10:45 PM","-9.93","0"
"10/22/2017 11:00 PM","-9.94","0"
"10/22/2017 11:15 PM","-9.95","0"
"10/22/2017 11:30 PM","-9.86","0"
"10/22/2017 11:45 PM","-9.91","0"
