"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"9/3/2019 12:00 AM","-13.6","0"
"9/3/2019 12:15 AM","-13.4","0"
"9/3/2019 12:30 AM","-13.4","0"
"9/3/2019 12:45 AM","-13.3","0"
"9/3/2019 1:00 AM","-13.4","0"
"9/3/2019 1:15 AM","-13.5","0"
"9/3/2019 1:30 AM","-13.6","0"
"9/3/2019 1:45 AM","-13.6","0"
"9/3/2019 2:00 AM","-13.7","0"
"9/3/2019 2:15 AM","-13.7","0"
"9/3/2019 2:30 AM","-13.7","0"
"9/3/2019 2:45 AM","-13.7","0"
"9/3/2019 3:00 AM","-13.7","0"
"9/3/2019 3:15 AM","-13.5","0"
"9/3/2019 3:30 AM","-13.6","0"
"9/3/2019 3:45 AM","-13.6","0"
"9/3/2019 4:00 AM","-13.5","0"
"9/3/2019 4:15 AM","-13.6","0"
"9/3/2019 4:30 AM","-13.6","0"
"9/3/2019 4:45 AM","-13.6","0"
"9/3/2019 5:00 AM","-13.6","0"
"9/3/2019 5:15 AM","-13.5","0"
"9/3/2019 5:30 AM","-13.4","0"
"9/3/2019 5:45 AM","-13.8","0"
"9/3/2019 6:00 AM","-14.1","0"
"9/3/2019 6:15 AM","-5.3","10.1"
"9/3/2019 6:30 AM","60.5","76.2"
"9/3/2019 6:45 AM","157","172"
"9/3/2019 7:00 AM","240","256"
"9/3/2019 7:15 AM","224","238"
"9/3/2019 7:30 AM","298","310"
"9/3/2019 7:45 AM","490","510"
"9/3/2019 8:00 AM","575","589"
"9/3/2019 8:15 AM","789","783"
"9/3/2019 8:30 AM","680","697"
"9/3/2019 8:45 AM","1506","1568"
"9/3/2019 9:00 AM","2065","2106"
"9/3/2019 9:15 AM","2492","2524"
"9/3/2019 9:30 AM","3047","2930"
"9/3/2019 9:45 AM","3267","3306"
"9/3/2019 10:00 AM","3398","3439"
"9/3/2019 10:15 AM","3619","3663"
"9/3/2019 10:30 AM","3777","3823"
"9/3/2019 10:45 AM","3941","3990"
"9/3/2019 11:00 AM","4135","4189"
"9/3/2019 11:15 AM","4045","4046"
"9/3/2019 11:30 AM","4243","4300"
"9/3/2019 11:45 AM","4290","4350"
"9/3/2019 12:00 PM","4406","4480"
"9/3/2019 12:15 PM","3941","4119"
"9/3/2019 12:30 PM","4387","4449"
"9/3/2019 12:45 PM","4246","4289"
"9/3/2019 1:00 PM","4374","4441"
"9/3/2019 1:15 PM","4339","4406"
"9/3/2019 1:30 PM","4298","4359"
"9/3/2019 1:45 PM","4241","4301"
"9/3/2019 2:00 PM","4163","4221"
"9/3/2019 2:15 PM","4039","4094"
"9/3/2019 2:30 PM","3832","3955"
"9/3/2019 2:45 PM","1991","1987"
"9/3/2019 3:00 PM","2777","2735"
"9/3/2019 3:15 PM","2870","2921"
"9/3/2019 3:30 PM","2989","3073"
"9/3/2019 3:45 PM","2772","2778"
"9/3/2019 4:00 PM","1210","1235"
"9/3/2019 4:15 PM","832","856"
"9/3/2019 4:30 PM","488","512"
"9/3/2019 4:45 PM","1403","1425"
"9/3/2019 5:00 PM","1284","1301"
"9/3/2019 5:15 PM","1335","1361"
"9/3/2019 5:30 PM","860","869"
"9/3/2019 5:45 PM","680","708"
"9/3/2019 6:00 PM","366","382"
"9/3/2019 6:15 PM","354","378"
"9/3/2019 6:30 PM","157","183"
"9/3/2019 6:45 PM","91","113"
"9/3/2019 7:00 PM","27.3","47.8"
"9/3/2019 7:15 PM","-9.56","7.99"
"9/3/2019 7:30 PM","-13.6","0"
"9/3/2019 7:45 PM","-13.4","0"
"9/3/2019 8:00 PM","-13.1","0"
"9/3/2019 8:15 PM","-13.1","0"
"9/3/2019 8:30 PM","-13.1","0"
"9/3/2019 8:45 PM","-13.2","0"
"9/3/2019 9:00 PM","-13.2","0"
"9/3/2019 9:15 PM","-13.2","0"
"9/3/2019 9:30 PM","-13.2","0"
"9/3/2019 9:45 PM","-13.2","0"
"9/3/2019 10:00 PM","-13.2","0"
"9/3/2019 10:15 PM","-13.3","0"
"9/3/2019 10:30 PM","-13.2","0"
"9/3/2019 10:45 PM","-13.1","0"
"9/3/2019 11:00 PM","-13.3","0"
"9/3/2019 11:15 PM","-13.3","0"
"9/3/2019 11:30 PM","-13.3","0"
"9/3/2019 11:45 PM","-13.3","0"
