"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"11/23/2019 12:00 AM","-10.3","0"
"11/23/2019 12:15 AM","-10.3","0"
"11/23/2019 12:30 AM","-10.3","0"
"11/23/2019 12:45 AM","-10.3","0"
"11/23/2019 1:00 AM","-10.3","0"
"11/23/2019 1:15 AM","-10.3","0"
"11/23/2019 1:30 AM","-10.3","0"
"11/23/2019 1:45 AM","-10.3","0"
"11/23/2019 2:00 AM","-18.2","0"
"11/23/2019 2:15 AM","-10.3","0"
"11/23/2019 2:30 AM","-13.9","0"
"11/23/2019 2:45 AM","-11","0"
"11/23/2019 3:00 AM","-11.1","0"
"11/23/2019 3:15 AM","-12.7","0"
"11/23/2019 3:30 AM","-11","0"
"11/23/2019 3:45 AM","-12.2","0"
"11/23/2019 4:00 AM","-15.5","0"
"11/23/2019 4:15 AM","-11.2","0"
"11/23/2019 4:30 AM","-12","0"
"11/23/2019 4:45 AM","-11.7","0"
"11/23/2019 5:00 AM","-11.6","0"
"11/23/2019 5:15 AM","-13.3","0"
"11/23/2019 5:30 AM","-11.2","0"
"11/23/2019 5:45 AM","-12.2","0"
"11/23/2019 6:00 AM","-13","0"
"11/23/2019 6:15 AM","-12.8","0"
"11/23/2019 6:30 AM","-11.4","0"
"11/23/2019 6:45 AM","-12.4","0"
"11/23/2019 7:00 AM","-12.4","1.96"
"11/23/2019 7:15 AM","32.3","47.4"
"11/23/2019 7:30 AM","44.5","58.6"
"11/23/2019 7:45 AM","66.5","80.1"
"11/23/2019 8:00 AM","93.8","108"
"11/23/2019 8:15 AM","71.4","84.7"
"11/23/2019 8:30 AM","198","212"
"11/23/2019 8:45 AM","104","117"
"11/23/2019 9:00 AM","82.9","97.6"
"11/23/2019 9:15 AM","329","343"
"11/23/2019 9:30 AM","371","384"
"11/23/2019 9:45 AM","596","607"
"11/23/2019 10:00 AM","805","820"
"11/23/2019 10:15 AM","1119","1125"
"11/23/2019 10:30 AM","1729","1740"
"11/23/2019 10:45 AM","1307","1318"
"11/23/2019 11:00 AM","1153","1163"
"11/23/2019 11:15 AM","1193","1204"
"11/23/2019 11:30 AM","1292","1302"
"11/23/2019 11:45 AM","850","860"
"11/23/2019 12:00 PM","971","983"
"11/23/2019 12:15 PM","963","973"
"11/23/2019 12:30 PM","658","668"
"11/23/2019 12:45 PM","990","1002"
"11/23/2019 1:00 PM","998","1008"
"11/23/2019 1:15 PM","829","839"
"11/23/2019 1:30 PM","1041","1052"
"11/23/2019 1:45 PM","1143","1153"
"11/23/2019 2:00 PM","828","837"
"11/23/2019 2:15 PM","704","715"
"11/23/2019 2:30 PM","920","932"
"11/23/2019 2:45 PM","535","543"
"11/23/2019 3:00 PM","303","315"
"11/23/2019 3:15 PM","209","221"
"11/23/2019 3:30 PM","156","168"
"11/23/2019 3:45 PM","57.2","72.2"
"11/23/2019 4:00 PM","18.3","32"
"11/23/2019 4:15 PM","10.2","25.2"
"11/23/2019 4:30 PM","-10.3","1.81"
"11/23/2019 4:45 PM","-10.7","0"
"11/23/2019 5:00 PM","-11.2","0"
"11/23/2019 5:15 PM","-10.6","0"
"11/23/2019 5:30 PM","-10.5","0"
"11/23/2019 5:45 PM","-10.6","0"
"11/23/2019 6:00 PM","-11.8","0"
"11/23/2019 6:15 PM","-10.9","0"
"11/23/2019 6:30 PM","-13","0"
"11/23/2019 6:45 PM","-11.4","0"
"11/23/2019 7:00 PM","-13","0"
"11/23/2019 7:15 PM","-11.8","0"
"11/23/2019 7:30 PM","-13.4","0"
"11/23/2019 7:45 PM","-11.8","0"
"11/23/2019 8:00 PM","-10.5","0"
"11/23/2019 8:15 PM","-10.7","0"
"11/23/2019 8:30 PM","-11.3","0"
"11/23/2019 8:45 PM","-10.6","0"
"11/23/2019 9:00 PM","-10.9","0"
"11/23/2019 9:15 PM","-10.3","0"
"11/23/2019 9:30 PM","-11","0"
"11/23/2019 9:45 PM","-10.2","0"
"11/23/2019 10:00 PM","-10.2","0"
"11/23/2019 10:15 PM","-10.2","0"
"11/23/2019 10:30 PM","-10.2","0"
"11/23/2019 10:45 PM","-10.2","0"
"11/23/2019 11:00 PM","-10.3","0"
"11/23/2019 11:15 PM","-10.3","0"
"11/23/2019 11:30 PM","-10.3","0"
"11/23/2019 11:45 PM","-10.3","0"
