"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"3/20/2019 12:00 AM","-9.94","0"
"3/20/2019 12:15 AM","-9.97","0"
"3/20/2019 12:30 AM","-10","0"
"3/20/2019 12:45 AM","-9.98","0"
"3/20/2019 1:00 AM","-9.98","0"
"3/20/2019 1:15 AM","-10","0"
"3/20/2019 1:30 AM","-10","0"
"3/20/2019 1:45 AM","-10","0"
"3/20/2019 2:00 AM","-10.1","0"
"3/20/2019 2:15 AM","-10","0"
"3/20/2019 2:30 AM","-10.1","0"
"3/20/2019 2:45 AM","-10.1","0"
"3/20/2019 3:00 AM","-9.96","0"
"3/20/2019 3:15 AM","-9.9","0"
"3/20/2019 3:30 AM","-9.88","0"
"3/20/2019 3:45 AM","-9.94","0"
"3/20/2019 4:00 AM","-12.4","0"
"3/20/2019 4:15 AM","-9.97","0"
"3/20/2019 4:30 AM","-9.9","0"
"3/20/2019 4:45 AM","-11.9","0"
"3/20/2019 5:00 AM","-14.1","0"
"3/20/2019 5:15 AM","-11.4","0"
"3/20/2019 5:30 AM","-12.2","0"
"3/20/2019 5:45 AM","-12.1","0"
"3/20/2019 6:00 AM","-11.2","0"
"3/20/2019 6:15 AM","-13.2","0"
"3/20/2019 6:30 AM","-12.1","0"
"3/20/2019 6:45 AM","-11.8","0"
"3/20/2019 7:00 AM","-9.54","4.2"
"3/20/2019 7:15 AM","5.3","20"
"3/20/2019 7:30 AM","8.49","22.1"
"3/20/2019 7:45 AM","9.94","24.2"
"3/20/2019 8:00 AM","22.6","38.8"
"3/20/2019 8:15 AM","39.4","53.4"
"3/20/2019 8:30 AM","44.4","59.2"
"3/20/2019 8:45 AM","94.8","109"
"3/20/2019 9:00 AM","134","148"
"3/20/2019 9:15 AM","160","174"
"3/20/2019 9:30 AM","328","343"
"3/20/2019 9:45 AM","284","298"
"3/20/2019 10:00 AM","541","524"
"3/20/2019 10:15 AM","608","620"
"3/20/2019 10:30 AM","1074","1085"
"3/20/2019 10:45 AM","573","588"
"3/20/2019 11:00 AM","760","772"
"3/20/2019 11:15 AM","543","554"
"3/20/2019 11:30 AM","746","759"
"3/20/2019 11:45 AM","1169","1184"
"3/20/2019 12:00 PM","616","627"
"3/20/2019 12:15 PM","771","784"
"3/20/2019 12:30 PM","376","389"
"3/20/2019 12:45 PM","471","485"
"3/20/2019 1:00 PM","458","471"
"3/20/2019 1:15 PM","1091","1105"
"3/20/2019 1:30 PM","751","764"
"3/20/2019 1:45 PM","839","853"
"3/20/2019 2:00 PM","885","897"
"3/20/2019 2:15 PM","579","592"
"3/20/2019 2:30 PM","547","560"
"3/20/2019 2:45 PM","473","486"
"3/20/2019 3:00 PM","515","530"
"3/20/2019 3:15 PM","1040","1055"
"3/20/2019 3:30 PM","1016","1030"
"3/20/2019 3:45 PM","1258","1272"
"3/20/2019 4:00 PM","823","836"
"3/20/2019 4:15 PM","417","428"
"3/20/2019 4:30 PM","224","237"
"3/20/2019 4:45 PM","247","261"
"3/20/2019 5:00 PM","342","356"
"3/20/2019 5:15 PM","181","195"
"3/20/2019 5:30 PM","171","185"
"3/20/2019 5:45 PM","95.3","109"
"3/20/2019 6:00 PM","35.1","49.3"
"3/20/2019 6:15 PM","11.4","24.6"
"3/20/2019 6:30 PM","14.3","27.6"
"3/20/2019 6:45 PM","-5.63","7.31"
"3/20/2019 7:00 PM","-10.2","0"
"3/20/2019 7:15 PM","-10.2","0"
"3/20/2019 7:30 PM","-9.71","0"
"3/20/2019 7:45 PM","-9.73","0"
"3/20/2019 8:00 PM","-9.73","0"
"3/20/2019 8:15 PM","-9.71","0"
"3/20/2019 8:30 PM","-9.79","0"
"3/20/2019 8:45 PM","-9.79","0"
"3/20/2019 9:00 PM","-9.8","0"
"3/20/2019 9:15 PM","-9.83","0"
"3/20/2019 9:30 PM","-9.84","0"
"3/20/2019 9:45 PM","-9.88","0"
"3/20/2019 10:00 PM","-9.89","0"
"3/20/2019 10:15 PM","-9.87","0"
"3/20/2019 10:30 PM","-9.89","0"
"3/20/2019 10:45 PM","-9.9","0"
"3/20/2019 11:00 PM","-9.96","0"
"3/20/2019 11:15 PM","-9.93","0"
"3/20/2019 11:30 PM","-9.91","0"
"3/20/2019 11:45 PM","-9.91","0"
