"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"7/19/2019 12:00 AM","-13.8","0"
"7/19/2019 12:15 AM","-13.8","0"
"7/19/2019 12:30 AM","-13.8","0"
"7/19/2019 12:45 AM","-13.8","0"
"7/19/2019 1:00 AM","-13.8","0"
"7/19/2019 1:15 AM","-13.8","0"
"7/19/2019 1:30 AM","-13.8","0"
"7/19/2019 1:45 AM","-13.8","0"
"7/19/2019 2:00 AM","-13.8","0"
"7/19/2019 2:15 AM","-13.9","0"
"7/19/2019 2:30 AM","-13.9","0"
"7/19/2019 2:45 AM","-13.8","0"
"7/19/2019 3:00 AM","-13.8","0"
"7/19/2019 3:15 AM","-13.8","0"
"7/19/2019 3:30 AM","-13.8","0"
"7/19/2019 3:45 AM","-13.8","0"
"7/19/2019 4:00 AM","-13.9","0"
"7/19/2019 4:15 AM","-13.9","0"
"7/19/2019 4:30 AM","-13.9","0"
"7/19/2019 4:45 AM","-13.8","0"
"7/19/2019 5:00 AM","-14.1","0"
"7/19/2019 5:15 AM","-14.4","0"
"7/19/2019 5:30 AM","-14.4","0"
"7/19/2019 5:45 AM","-14.4","0"
"7/19/2019 6:00 AM","29.6","49.7"
"7/19/2019 6:15 AM","80","98.9"
"7/19/2019 6:30 AM","183","201"
"7/19/2019 6:45 AM","321","340"
"7/19/2019 7:00 AM","524","543"
"7/19/2019 7:15 AM","751","761"
"7/19/2019 7:30 AM","925","941"
"7/19/2019 7:45 AM","1230","1253"
"7/19/2019 8:00 AM","1526","1550"
"7/19/2019 8:15 AM","1847","1864"
"7/19/2019 8:30 AM","2009","2030"
"7/19/2019 8:45 AM","2445","2497"
"7/19/2019 9:00 AM","2618","2660"
"7/19/2019 9:15 AM","2842","2925"
"7/19/2019 9:30 AM","3096","3155"
"7/19/2019 9:45 AM","3333","3335"
"7/19/2019 10:00 AM","3546","3589"
"7/19/2019 10:15 AM","3696","3778"
"7/19/2019 10:30 AM","3930","3973"
"7/19/2019 10:45 AM","3992","4053"
"7/19/2019 11:00 AM","4116","4172"
"7/19/2019 11:15 AM","4228","4288"
"7/19/2019 11:30 AM","4309","4372"
"7/19/2019 11:45 AM","4333","4394"
"7/19/2019 12:00 PM","4382","4433"
"7/19/2019 12:15 PM","4351","4428"
"7/19/2019 12:30 PM","4367","4428"
"7/19/2019 12:45 PM","4393","4436"
"7/19/2019 1:00 PM","4183","4328"
"7/19/2019 1:15 PM","4410","4470"
"7/19/2019 1:30 PM","4226","4356"
"7/19/2019 1:45 PM","3846","3926"
"7/19/2019 2:00 PM","3794","3957"
"7/19/2019 2:15 PM","3335","3540"
"7/19/2019 2:30 PM","3947","4174"
"7/19/2019 2:45 PM","3781","3828"
"7/19/2019 3:00 PM","3900","4010"
"7/19/2019 3:15 PM","3809","3866"
"7/19/2019 3:30 PM","3631","3682"
"7/19/2019 3:45 PM","3452","3501"
"7/19/2019 4:00 PM","3227","3269"
"7/19/2019 4:15 PM","3022","3068"
"7/19/2019 4:30 PM","2845","2874"
"7/19/2019 4:45 PM","2549","2565"
"7/19/2019 5:00 PM","2249","2282"
"7/19/2019 5:15 PM","1984","2014"
"7/19/2019 5:30 PM","1707","1734"
"7/19/2019 5:45 PM","1410","1435"
"7/19/2019 6:00 PM","1128","1154"
"7/19/2019 6:15 PM","845","870"
"7/19/2019 6:30 PM","593","618"
"7/19/2019 6:45 PM","375","401"
"7/19/2019 7:00 PM","223","250"
"7/19/2019 7:15 PM","131","159"
"7/19/2019 7:30 PM","78.7","107"
"7/19/2019 7:45 PM","17.8","38.8"
"7/19/2019 8:00 PM","13.6","35.8"
"7/19/2019 8:15 PM","-14.2","5.73"
"7/19/2019 8:30 PM","-13.6","0"
"7/19/2019 8:45 PM","-13.4","0"
"7/19/2019 9:00 PM","-12.9","0"
"7/19/2019 9:15 PM","-12.9","0"
"7/19/2019 9:30 PM","-13.7","0"
"7/19/2019 9:45 PM","-13.8","0"
"7/19/2019 10:00 PM","-13.8","0"
"7/19/2019 10:15 PM","-13.8","0"
"7/19/2019 10:30 PM","-13.8","0"
"7/19/2019 10:45 PM","-13.7","0"
"7/19/2019 11:00 PM","-13.8","0"
"7/19/2019 11:15 PM","-13.8","0"
"7/19/2019 11:30 PM","-13.8","0"
"7/19/2019 11:45 PM","-13.8","0"
