"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"8/3/2018 12:00 AM","-13.8","0"
"8/3/2018 12:15 AM","-13.9","0"
"8/3/2018 12:30 AM","-13.8","0"
"8/3/2018 12:45 AM","-13.9","0"
"8/3/2018 1:00 AM","-14","0"
"8/3/2018 1:15 AM","-13.9","0"
"8/3/2018 1:30 AM","-13.9","0"
"8/3/2018 1:45 AM","-14","0"
"8/3/2018 2:00 AM","-14","0"
"8/3/2018 2:15 AM","-13.9","0"
"8/3/2018 2:30 AM","-14","0"
"8/3/2018 2:45 AM","-14","0"
"8/3/2018 3:00 AM","-13.9","0"
"8/3/2018 3:15 AM","-13.9","0"
"8/3/2018 3:30 AM","-13.9","0"
"8/3/2018 3:45 AM","-14","0"
"8/3/2018 4:00 AM","-13.8","0"
"8/3/2018 4:15 AM","-13.8","0"
"8/3/2018 4:30 AM","-13.8","0"
"8/3/2018 4:45 AM","-13.8","0"
"8/3/2018 5:00 AM","-13.7","0"
"8/3/2018 5:15 AM","-13.8","0"
"8/3/2018 5:30 AM","-14.3","0"
"8/3/2018 5:45 AM","-14.6","0"
"8/3/2018 6:00 AM","6.84","25.6"
"8/3/2018 6:15 AM","69","87"
"8/3/2018 6:30 AM","149","167"
"8/3/2018 6:45 AM","268","285"
"8/3/2018 7:00 AM","422","443"
"8/3/2018 7:15 AM","570","584"
"8/3/2018 7:30 AM","762","791"
"8/3/2018 7:45 AM","1124","1149"
"8/3/2018 8:00 AM","1412","1436"
"8/3/2018 8:15 AM","1716","1745"
"8/3/2018 8:30 AM","2050","2080"
"8/3/2018 8:45 AM","2327","2381"
"8/3/2018 9:00 AM","1860","1970"
"8/3/2018 9:15 AM","2494","2542"
"8/3/2018 9:30 AM","2207","2233"
"8/3/2018 9:45 AM","2391","2381"
"8/3/2018 10:00 AM","3426","3442"
"8/3/2018 10:15 AM","3784","3874"
"8/3/2018 10:30 AM","3651","3703"
"8/3/2018 10:45 AM","3776","3831"
"8/3/2018 11:00 AM","3870","3906"
"8/3/2018 11:15 AM","3995","4055"
"8/3/2018 11:30 AM","4081","4148"
"8/3/2018 11:45 AM","4078","4127"
"8/3/2018 12:00 PM","3343","3363"
"8/3/2018 12:15 PM","4394","4424"
"8/3/2018 12:30 PM","4293","4364"
"8/3/2018 12:45 PM","4269","4342"
"8/3/2018 1:00 PM","4269","4340"
"8/3/2018 1:15 PM","4260","4331"
"8/3/2018 1:30 PM","4211","4281"
"8/3/2018 1:45 PM","4172","4240"
"8/3/2018 2:00 PM","3913","3998"
"8/3/2018 2:15 PM","3996","4064"
"8/3/2018 2:30 PM","3905","3970"
"8/3/2018 2:45 PM","3797","3860"
"8/3/2018 3:00 PM","3654","3714"
"8/3/2018 3:15 PM","3539","3598"
"8/3/2018 3:30 PM","3246","3291"
"8/3/2018 3:45 PM","3083","3087"
"8/3/2018 4:00 PM","3045","3083"
"8/3/2018 4:15 PM","2788","2833"
"8/3/2018 4:30 PM","2580","2619"
"8/3/2018 4:45 PM","2298","2335"
"8/3/2018 5:00 PM","2045","2082"
"8/3/2018 5:15 PM","1771","1803"
"8/3/2018 5:30 PM","1528","1559"
"8/3/2018 5:45 PM","1163","1201"
"8/3/2018 6:00 PM","824","860"
"8/3/2018 6:15 PM","588","620"
"8/3/2018 6:30 PM","510","535"
"8/3/2018 6:45 PM","327","354"
"8/3/2018 7:00 PM","198","226"
"8/3/2018 7:15 PM","186","215"
"8/3/2018 7:30 PM","103","131"
"8/3/2018 7:45 PM","28.5","55.1"
"8/3/2018 8:00 PM","-11.9","7.1"
"8/3/2018 8:15 PM","-13.5","0"
"8/3/2018 8:30 PM","-13.5","0"
"8/3/2018 8:45 PM","-13.5","0"
"8/3/2018 9:00 PM","-13.6","0"
"8/3/2018 9:15 PM","-13.6","0"
"8/3/2018 9:30 PM","-13.6","0"
"8/3/2018 9:45 PM","-13.6","0"
"8/3/2018 10:00 PM","-13.7","0"
"8/3/2018 10:15 PM","-13.6","0"
"8/3/2018 10:30 PM","-13.6","0"
"8/3/2018 10:45 PM","-13.6","0"
"8/3/2018 11:00 PM","-13.7","0"
"8/3/2018 11:15 PM","-13.7","0"
"8/3/2018 11:30 PM","-13.8","0"
"8/3/2018 11:45 PM","-13.8","0"
