"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"1/8/2020 12:00 AM","-10.2","0"
"1/8/2020 12:15 AM","-10.2","0"
"1/8/2020 12:30 AM","-10.2","0"
"1/8/2020 12:45 AM","-10.2","0"
"1/8/2020 1:00 AM","-10.2","0"
"1/8/2020 1:15 AM","-10.3","0"
"1/8/2020 1:30 AM","-10.3","0"
"1/8/2020 1:45 AM","-10.2","0"
"1/8/2020 2:00 AM","-14.4","0"
"1/8/2020 2:15 AM","-12","0"
"1/8/2020 2:30 AM","-11.2","0"
"1/8/2020 2:45 AM","-11.4","0"
"1/8/2020 3:00 AM","-11.5","0"
"1/8/2020 3:15 AM","-11.5","0"
"1/8/2020 3:30 AM","-11.3","0"
"1/8/2020 3:45 AM","-12.4","0"
"1/8/2020 4:00 AM","-19.5","0"
"1/8/2020 4:15 AM","-15.6","0"
"1/8/2020 4:30 AM","-15.1","0"
"1/8/2020 4:45 AM","-14.9","0"
"1/8/2020 5:00 AM","-14","0"
"1/8/2020 5:15 AM","-14.9","0"
"1/8/2020 5:30 AM","-15.2","0"
"1/8/2020 5:45 AM","-15.5","0"
"1/8/2020 6:00 AM","-15","0"
"1/8/2020 6:15 AM","-14.7","0"
"1/8/2020 6:30 AM","-16.3","0"
"1/8/2020 6:45 AM","-16.2","0"
"1/8/2020 7:00 AM","-9.99","6.39"
"1/8/2020 7:15 AM","30.7","47"
"1/8/2020 7:30 AM","160","176"
"1/8/2020 7:45 AM","361","377"
"1/8/2020 8:00 AM","680","695"
"1/8/2020 8:15 AM","1051","1065"
"1/8/2020 8:30 AM","1335","1349"
"1/8/2020 8:45 AM","1592","1606"
"1/8/2020 9:00 AM","1796","1804"
"1/8/2020 9:15 AM","2096","2110"
"1/8/2020 9:30 AM","2369","2387"
"1/8/2020 9:45 AM","2670","2661"
"1/8/2020 10:00 AM","2960","2988"
"1/8/2020 10:15 AM","3274","3317"
"1/8/2020 10:30 AM","3180","3200"
"1/8/2020 10:45 AM","3512","3535"
"1/8/2020 11:00 AM","3612","3666"
"1/8/2020 11:15 AM","3938","3984"
"1/8/2020 11:30 AM","3873","3915"
"1/8/2020 11:45 AM","3889","4026"
"1/8/2020 12:00 PM","2768","2832"
"1/8/2020 12:15 PM","3427","3415"
"1/8/2020 12:30 PM","3832","3908"
"1/8/2020 12:45 PM","3624","3659"
"1/8/2020 1:00 PM","3433","3482"
"1/8/2020 1:15 PM","3315","3367"
"1/8/2020 1:30 PM","3018","3051"
"1/8/2020 1:45 PM","2692","2719"
"1/8/2020 2:00 PM","2372","2397"
"1/8/2020 2:15 PM","2014","2022"
"1/8/2020 2:30 PM","1887","1889"
"1/8/2020 2:45 PM","1831","1852"
"1/8/2020 3:00 PM","1512","1518"
"1/8/2020 3:15 PM","1371","1380"
"1/8/2020 3:30 PM","1059","1073"
"1/8/2020 3:45 PM","662","674"
"1/8/2020 4:00 PM","424","436"
"1/8/2020 4:15 PM","189","200"
"1/8/2020 4:30 PM","51.2","63.9"
"1/8/2020 4:45 PM","-3.56","11.1"
"1/8/2020 5:00 PM","-12.5","0"
"1/8/2020 5:15 PM","-11.7","0"
"1/8/2020 5:30 PM","-11.3","0"
"1/8/2020 5:45 PM","-11.2","0"
"1/8/2020 6:00 PM","-11.4","0"
"1/8/2020 6:15 PM","-11.7","0"
"1/8/2020 6:30 PM","-12.6","0"
"1/8/2020 6:45 PM","-12","0"
"1/8/2020 7:00 PM","-11.9","0"
"1/8/2020 7:15 PM","-12.2","0"
"1/8/2020 7:30 PM","-13","0"
"1/8/2020 7:45 PM","-13.2","0"
"1/8/2020 8:00 PM","-12.7","0"
"1/8/2020 8:15 PM","-12.2","0"
"1/8/2020 8:30 PM","-11.9","0"
"1/8/2020 8:45 PM","-11.9","0"
"1/8/2020 9:00 PM","-12.3","0"
"1/8/2020 9:15 PM","-13.2","0"
"1/8/2020 9:30 PM","-12.3","0"
"1/8/2020 9:45 PM","-12.4","0"
"1/8/2020 10:00 PM","-10.7","0"
"1/8/2020 10:15 PM","-10.3","0"
"1/8/2020 10:30 PM","-10.2","0"
"1/8/2020 10:45 PM","-10.3","0"
"1/8/2020 11:00 PM","-10.4","0"
"1/8/2020 11:15 PM","-10.2","0"
"1/8/2020 11:30 PM","-10.2","0"
"1/8/2020 11:45 PM","-10.2","0"
