"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"3/3/2019 12:00 AM","-10.2","0"
"3/3/2019 12:15 AM","-10.2","0"
"3/3/2019 12:30 AM","-10.2","0"
"3/3/2019 12:45 AM","-10.2","0"
"3/3/2019 1:00 AM","-10.2","0"
"3/3/2019 1:15 AM","-10.2","0"
"3/3/2019 1:30 AM","-10.3","0"
"3/3/2019 1:45 AM","-10.2","0"
"3/3/2019 2:00 AM","-10.2","0"
"3/3/2019 2:15 AM","-10.2","0"
"3/3/2019 2:30 AM","-10.2","0"
"3/3/2019 2:45 AM","-10.2","0"
"3/3/2019 3:00 AM","-14.8","0"
"3/3/2019 3:15 AM","-12.2","0"
"3/3/2019 3:30 AM","-11.2","0"
"3/3/2019 3:45 AM","-12.9","0"
"3/3/2019 4:00 AM","-19.9","0"
"3/3/2019 4:15 AM","-14.2","0"
"3/3/2019 4:30 AM","-14.1","0"
"3/3/2019 4:45 AM","-14.3","0"
"3/3/2019 5:00 AM","-13.8","0"
"3/3/2019 5:15 AM","-13.3","0"
"3/3/2019 5:30 AM","-14.1","0"
"3/3/2019 5:45 AM","-13.4","0"
"3/3/2019 6:00 AM","-14.1","0"
"3/3/2019 6:15 AM","-15.8","0"
"3/3/2019 6:30 AM","-12.9","1.98"
"3/3/2019 6:45 AM","1.68","17.3"
"3/3/2019 7:00 AM","32.5","48.2"
"3/3/2019 7:15 AM","84.7","99.8"
"3/3/2019 7:30 AM","148","162"
"3/3/2019 7:45 AM","179","193"
"3/3/2019 8:00 AM","187","201"
"3/3/2019 8:15 AM","169","182"
"3/3/2019 8:30 AM","133","148"
"3/3/2019 8:45 AM","152","166"
"3/3/2019 9:00 AM","126","140"
"3/3/2019 9:15 AM","115","129"
"3/3/2019 9:30 AM","137","152"
"3/3/2019 9:45 AM","163","178"
"3/3/2019 10:00 AM","162","176"
"3/3/2019 10:15 AM","144","158"
"3/3/2019 10:30 AM","149","163"
"3/3/2019 10:45 AM","155","170"
"3/3/2019 11:00 AM","183","198"
"3/3/2019 11:15 AM","232","246"
"3/3/2019 11:30 AM","258","271"
"3/3/2019 11:45 AM","303","316"
"3/3/2019 12:00 PM","298","312"
"3/3/2019 12:15 PM","371","384"
"3/3/2019 12:30 PM","488","500"
"3/3/2019 12:45 PM","433","447"
"3/3/2019 1:00 PM","426","440"
"3/3/2019 1:15 PM","435","448"
"3/3/2019 1:30 PM","496","509"
"3/3/2019 1:45 PM","615","630"
"3/3/2019 2:00 PM","775","790"
"3/3/2019 2:15 PM","887","905"
"3/3/2019 2:30 PM","1259","1296"
"3/3/2019 2:45 PM","1386","1402"
"3/3/2019 3:00 PM","1001","994"
"3/3/2019 3:15 PM","1304","1310"
"3/3/2019 3:30 PM","1104","1115"
"3/3/2019 3:45 PM","940","951"
"3/3/2019 4:00 PM","781","791"
"3/3/2019 4:15 PM","616","627"
"3/3/2019 4:30 PM","465","475"
"3/3/2019 4:45 PM","318","328"
"3/3/2019 5:00 PM","182","192"
"3/3/2019 5:15 PM","62","74.2"
"3/3/2019 5:30 PM","2.23","19.5"
"3/3/2019 5:45 PM","-13.6","1.85"
"3/3/2019 6:00 PM","-17.2","0"
"3/3/2019 6:15 PM","-14.3","0"
"3/3/2019 6:30 PM","-14.4","0"
"3/3/2019 6:45 PM","-14.5","0"
"3/3/2019 7:00 PM","-15.4","0"
"3/3/2019 7:15 PM","-14.9","0"
"3/3/2019 7:30 PM","-16.2","0"
"3/3/2019 7:45 PM","-15.4","0"
"3/3/2019 8:00 PM","-16.3","0"
"3/3/2019 8:15 PM","-17.3","0"
"3/3/2019 8:30 PM","-16.6","0"
"3/3/2019 8:45 PM","-15.3","0"
"3/3/2019 9:00 PM","-15","0"
"3/3/2019 9:15 PM","-15.6","0"
"3/3/2019 9:30 PM","-14.8","0"
"3/3/2019 9:45 PM","-15.3","0"
"3/3/2019 10:00 PM","-10.5","0"
"3/3/2019 10:15 PM","-10.4","0"
"3/3/2019 10:30 PM","-10.3","0"
"3/3/2019 10:45 PM","-10.2","0"
"3/3/2019 11:00 PM","-10.3","0"
"3/3/2019 11:15 PM","-10.7","0"
"3/3/2019 11:30 PM","-10.7","0"
"3/3/2019 11:45 PM","-11.7","0"
