"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"7/21/2018 12:00 AM","-13.5","0"
"7/21/2018 12:15 AM","-13.5","0"
"7/21/2018 12:30 AM","-13.6","0"
"7/21/2018 12:45 AM","-13.6","0"
"7/21/2018 1:00 AM","-13.5","0"
"7/21/2018 1:15 AM","-13.6","0"
"7/21/2018 1:30 AM","-13.6","0"
"7/21/2018 1:45 AM","-13.6","0"
"7/21/2018 2:00 AM","-13.6","0"
"7/21/2018 2:15 AM","-13.6","0"
"7/21/2018 2:30 AM","-13.5","0"
"7/21/2018 2:45 AM","-13.6","0"
"7/21/2018 3:00 AM","-13.6","0"
"7/21/2018 3:15 AM","-13.5","0"
"7/21/2018 3:30 AM","-13.6","0"
"7/21/2018 3:45 AM","-13.6","0"
"7/21/2018 4:00 AM","-13.7","0"
"7/21/2018 4:15 AM","-13.5","0"
"7/21/2018 4:30 AM","-13.6","0"
"7/21/2018 4:45 AM","-13.5","0"
"7/21/2018 5:00 AM","-13.6","0"
"7/21/2018 5:15 AM","-14","0"
"7/21/2018 5:30 AM","-14","0"
"7/21/2018 5:45 AM","-14","0"
"7/21/2018 6:00 AM","-13.6","0.051"
"7/21/2018 6:15 AM","25.4","41.2"
"7/21/2018 6:30 AM","46.1","62.8"
"7/21/2018 6:45 AM","57.6","73.9"
"7/21/2018 7:00 AM","48.3","65.5"
"7/21/2018 7:15 AM","118","134"
"7/21/2018 7:30 AM","112","127"
"7/21/2018 7:45 AM","292","308"
"7/21/2018 8:00 AM","270","287"
"7/21/2018 8:15 AM","577","578"
"7/21/2018 8:30 AM","230","249"
"7/21/2018 8:45 AM","483","503"
"7/21/2018 9:00 AM","450","464"
"7/21/2018 9:15 AM","820","835"
"7/21/2018 9:30 AM","806","825"
"7/21/2018 9:45 AM","867","877"
"7/21/2018 10:00 AM","953","969"
"7/21/2018 10:15 AM","1005","1031"
"7/21/2018 10:30 AM","826","830"
"7/21/2018 10:45 AM","1765","1786"
"7/21/2018 11:00 AM","2935","3199"
"7/21/2018 11:15 AM","1519","1551"
"7/21/2018 11:30 AM","698","721"
"7/21/2018 11:45 AM","517","534"
"7/21/2018 12:00 PM","2112","2153"
"7/21/2018 12:15 PM","819","849"
"7/21/2018 12:30 PM","1563","1570"
"7/21/2018 12:45 PM","1015","1049"
"7/21/2018 1:00 PM","2803","2852"
"7/21/2018 1:15 PM","1763","1668"
"7/21/2018 1:30 PM","498","519"
"7/21/2018 1:45 PM","992","1013"
"7/21/2018 2:00 PM","2367","2373"
"7/21/2018 2:15 PM","3778","4138"
"7/21/2018 2:30 PM","1725","1609"
"7/21/2018 2:45 PM","1327","1338"
"7/21/2018 3:00 PM","2450","2421"
"7/21/2018 3:15 PM","3334","3441"
"7/21/2018 3:30 PM","2886","3019"
"7/21/2018 3:45 PM","2287","2469"
"7/21/2018 4:00 PM","3104","3241"
"7/21/2018 4:15 PM","3284","3324"
"7/21/2018 4:30 PM","2734","2965"
"7/21/2018 4:45 PM","2634","2573"
"7/21/2018 5:00 PM","2357","2419"
"7/21/2018 5:15 PM","1832","2054"
"7/21/2018 5:30 PM","1519","1539"
"7/21/2018 5:45 PM","1547","1612"
"7/21/2018 6:00 PM","1189","1208"
"7/21/2018 6:15 PM","660","671"
"7/21/2018 6:30 PM","390","411"
"7/21/2018 6:45 PM","533","519"
"7/21/2018 7:00 PM","254","273"
"7/21/2018 7:15 PM","174","193"
"7/21/2018 7:30 PM","43.3","62.8"
"7/21/2018 7:45 PM","38.3","56.6"
"7/21/2018 8:00 PM","4.93","22.8"
"7/21/2018 8:15 PM","-14.6","0.655"
"7/21/2018 8:30 PM","-13.4","0"
"7/21/2018 8:45 PM","-13.2","0"
"7/21/2018 9:00 PM","-13","0"
"7/21/2018 9:15 PM","-13","0"
"7/21/2018 9:30 PM","-13","0"
"7/21/2018 9:45 PM","-13","0"
"7/21/2018 10:00 PM","-13","0"
"7/21/2018 10:15 PM","-13.1","0"
"7/21/2018 10:30 PM","-13.1","0"
"7/21/2018 10:45 PM","-13.1","0"
"7/21/2018 11:00 PM","-13.1","0"
"7/21/2018 11:15 PM","-13.1","0"
"7/21/2018 11:30 PM","-13.1","0"
"7/21/2018 11:45 PM","-13.1","0"
