"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"6/20/2020 12:00 AM","-13.7","0"
"6/20/2020 12:15 AM","-13.8","0"
"6/20/2020 12:30 AM","-13.7","0"
"6/20/2020 12:45 AM","-13.7","0"
"6/20/2020 1:00 AM","-13.7","0"
"6/20/2020 1:15 AM","-13.7","0"
"6/20/2020 1:30 AM","-13.7","0"
"6/20/2020 1:45 AM","-13.7","0"
"6/20/2020 2:00 AM","-13.9","0"
"6/20/2020 2:15 AM","-13.9","0"
"6/20/2020 2:30 AM","-13.9","0"
"6/20/2020 2:45 AM","-13.9","0"
"6/20/2020 3:00 AM","-13.9","0"
"6/20/2020 3:15 AM","-13.9","0"
"6/20/2020 3:30 AM","-13.9","0"
"6/20/2020 3:45 AM","-13.9","0"
"6/20/2020 4:00 AM","-13.9","0"
"6/20/2020 4:15 AM","-13.9","0"
"6/20/2020 4:30 AM","-13.9","0"
"6/20/2020 4:45 AM","-14.4","0"
"6/20/2020 5:00 AM","-14.5","0"
"6/20/2020 5:15 AM","-13.5","0.672"
"6/20/2020 5:30 AM","26.9","44.6"
"6/20/2020 5:45 AM","82.4","100"
"6/20/2020 6:00 AM","143","160"
"6/20/2020 6:15 AM","246","262"
"6/20/2020 6:30 AM","322","337"
"6/20/2020 6:45 AM","372","389"
"6/20/2020 7:00 AM","611","628"
"6/20/2020 7:15 AM","812","832"
"6/20/2020 7:30 AM","1159","1180"
"6/20/2020 7:45 AM","1377","1403"
"6/20/2020 8:00 AM","1715","1782"
"6/20/2020 8:15 AM","1916","1966"
"6/20/2020 8:30 AM","2172","2205"
"6/20/2020 8:45 AM","2433","2470"
"6/20/2020 9:00 AM","2662","2709"
"6/20/2020 9:15 AM","2882","2927"
"6/20/2020 9:30 AM","3053","3103"
"6/20/2020 9:45 AM","3337","3383"
"6/20/2020 10:00 AM","3537","3584"
"6/20/2020 10:15 AM","3587","3636"
"6/20/2020 10:30 AM","3760","3861"
"6/20/2020 10:45 AM","3933","3976"
"6/20/2020 11:00 AM","4104","4165"
"6/20/2020 11:15 AM","4157","4233"
"6/20/2020 11:30 AM","3321","3178"
"6/20/2020 11:45 AM","2756","2975"
"6/20/2020 12:00 PM","4236","4287"
"6/20/2020 12:15 PM","3589","3579"
"6/20/2020 12:30 PM","4101","4143"
"6/20/2020 12:45 PM","4285","4389"
"6/20/2020 1:00 PM","2604","2643"
"6/20/2020 1:15 PM","962","993"
"6/20/2020 1:30 PM","2550","2622"
"6/20/2020 1:45 PM","3024","2951"
"6/20/2020 2:00 PM","3625","3698"
"6/20/2020 2:15 PM","2749","2786"
"6/20/2020 2:30 PM","3458","3499"
"6/20/2020 2:45 PM","2757","2877"
"6/20/2020 3:00 PM","3089","3164"
"6/20/2020 3:15 PM","2952","2975"
"6/20/2020 3:30 PM","2785","2862"
"6/20/2020 3:45 PM","1624","1696"
"6/20/2020 4:00 PM","823","866"
"6/20/2020 4:15 PM","427","456"
"6/20/2020 4:30 PM","426","454"
"6/20/2020 4:45 PM","359","383"
"6/20/2020 5:00 PM","299","321"
"6/20/2020 5:15 PM","39.4","61.2"
"6/20/2020 5:30 PM","29.6","48.5"
"6/20/2020 5:45 PM","262","280"
"6/20/2020 6:00 PM","308","324"
"6/20/2020 6:15 PM","87.6","105"
"6/20/2020 6:30 PM","22.9","40.2"
"6/20/2020 6:45 PM","-15.4","0.718"
"6/20/2020 7:00 PM","-13.5","0"
"6/20/2020 7:15 PM","-13.5","0"
"6/20/2020 7:30 PM","-13.4","0"
"6/20/2020 7:45 PM","-13.6","0"
"6/20/2020 8:00 PM","-13.6","0"
"6/20/2020 8:15 PM","-13.6","0"
"6/20/2020 8:30 PM","-13.6","0"
"6/20/2020 8:45 PM","-13.6","0"
"6/20/2020 9:00 PM","-13","0"
"6/20/2020 9:15 PM","-12.9","0"
"6/20/2020 9:30 PM","-13","0"
"6/20/2020 9:45 PM","-13","0"
"6/20/2020 10:00 PM","-13","0"
"6/20/2020 10:15 PM","-12.9","0"
"6/20/2020 10:30 PM","-12.9","0"
"6/20/2020 10:45 PM","-12.9","0"
"6/20/2020 11:00 PM","-12.8","0"
"6/20/2020 11:15 PM","-12.8","0"
"6/20/2020 11:30 PM","-12.8","0"
"6/20/2020 11:45 PM","-12.9","0"
