"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"4/8/2017 12:00 AM","-12.7","0"
"4/8/2017 12:15 AM","-12.5","0"
"4/8/2017 12:30 AM","-13","0"
"4/8/2017 12:45 AM","-13","0"
"4/8/2017 1:00 AM","-12.7","0"
"4/8/2017 1:15 AM","-13.2","0"
"4/8/2017 1:30 AM","-12.7","0"
"4/8/2017 1:45 AM","-13","0"
"4/8/2017 2:00 AM","-12.8","0"
"4/8/2017 2:15 AM","-12.7","0"
"4/8/2017 2:30 AM","-12.6","0"
"4/8/2017 2:45 AM","-12.6","0"
"4/8/2017 3:00 AM","-15.3","0"
"4/8/2017 3:15 AM","-12.6","0"
"4/8/2017 3:30 AM","-14","0"
"4/8/2017 3:45 AM","-12.5","0"
"4/8/2017 4:00 AM","-12.5","0"
"4/8/2017 4:15 AM","-15.8","0"
"4/8/2017 4:30 AM","-14.6","0"
"4/8/2017 4:45 AM","-13.4","0"
"4/8/2017 5:00 AM","-14.8","0"
"4/8/2017 5:15 AM","-14.6","0"
"4/8/2017 5:30 AM","-12.4","0"
"4/8/2017 5:45 AM","-13.2","0"
"4/8/2017 6:00 AM","-13.6","0"
"4/8/2017 6:15 AM","-7.69","6.45"
"4/8/2017 6:30 AM","24.2","38.9"
"4/8/2017 6:45 AM","128","143"
"4/8/2017 7:00 AM","341","369"
"4/8/2017 7:15 AM","580","609"
"4/8/2017 7:30 AM","789","822"
"4/8/2017 7:45 AM","1174","1217"
"4/8/2017 8:00 AM","1765","1684"
"4/8/2017 8:15 AM","1599","1694"
"4/8/2017 8:30 AM","1771","1731"
"4/8/2017 8:45 AM","2770","2651"
"4/8/2017 9:00 AM","3262","3317"
"4/8/2017 9:15 AM","3320","3407"
"4/8/2017 9:30 AM","3462","3564"
"4/8/2017 9:45 AM","3699","3806"
"4/8/2017 10:00 AM","3937","4050"
"4/8/2017 10:15 AM","4148","4270"
"4/8/2017 10:30 AM","4333","4463"
"4/8/2017 10:45 AM","4496","4628"
"4/8/2017 11:00 AM","4577","4712"
"4/8/2017 11:15 AM","4576","4709"
"4/8/2017 11:30 AM","4576","4709"
"4/8/2017 11:45 AM","4519","4676"
"4/8/2017 12:00 PM","4496","4586"
"4/8/2017 12:15 PM","4484","4601"
"4/8/2017 12:30 PM","4533","4656"
"4/8/2017 12:45 PM","4599","4738"
"4/8/2017 1:00 PM","4591","4736"
"4/8/2017 1:15 PM","4564","4711"
"4/8/2017 1:30 PM","4451","4551"
"4/8/2017 1:45 PM","4338","4443"
"4/8/2017 2:00 PM","4321","4401"
"4/8/2017 2:15 PM","3860","3995"
"4/8/2017 2:30 PM","4426","4566"
"4/8/2017 2:45 PM","4405","4533"
"4/8/2017 3:00 PM","4250","4380"
"4/8/2017 3:15 PM","3994","4118"
"4/8/2017 3:30 PM","3782","3896"
"4/8/2017 3:45 PM","3366","3450"
"4/8/2017 4:00 PM","3267","3376"
"4/8/2017 4:15 PM","2879","2986"
"4/8/2017 4:30 PM","2427","2511"
"4/8/2017 4:45 PM","2350","2408"
"4/8/2017 5:00 PM","2141","2213"
"4/8/2017 5:15 PM","1791","1853"
"4/8/2017 5:30 PM","1445","1497"
"4/8/2017 5:45 PM","1051","1101"
"4/8/2017 6:00 PM","620","653"
"4/8/2017 6:15 PM","313","337"
"4/8/2017 6:30 PM","218","238"
"4/8/2017 6:45 PM","148","167"
"4/8/2017 7:00 PM","56.3","75.3"
"4/8/2017 7:15 PM","-3.82","13.4"
"4/8/2017 7:30 PM","-15.8","0"
"4/8/2017 7:45 PM","-16.2","0"
"4/8/2017 8:00 PM","-15.9","0"
"4/8/2017 8:15 PM","-15.9","0"
"4/8/2017 8:30 PM","-16","0"
"4/8/2017 8:45 PM","-15.7","0"
"4/8/2017 9:00 PM","-16.3","0"
"4/8/2017 9:15 PM","-15.8","0"
"4/8/2017 9:30 PM","-15.5","0"
"4/8/2017 9:45 PM","-15.5","0"
"4/8/2017 10:00 PM","-15","0"
"4/8/2017 10:15 PM","-15.3","0"
"4/8/2017 10:30 PM","-15.2","0"
"4/8/2017 10:45 PM","-14.3","0"
"4/8/2017 11:00 PM","-13","0"
"4/8/2017 11:15 PM","-12","0"
"4/8/2017 11:30 PM","-11.9","0"
"4/8/2017 11:45 PM","-11.7","0"
